source_district,school,school_cleaned,my_county,confidence,orig_evidence,poll_loc,poll_eds,poll_confirm,gaz_loc,gaz_lds,gaz_confirm,verdict,notes
Auckland,Henderson Valley,Henderson Valley,Waitemata County,High,KG: Henderson Valley near Henderson; Waitemata County,,,,henderson valley,North Auckland,,CONFIRM,KG evidence identifies location and county
Auckland,Hikurangi,Hikurangi,Whangarei County,High,Polling: Marsden (Whangarei) ED lists Hikurangi as polling place,hikurangi,Bay Of Islands,,hikurangi,North Auckland,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Hora Hora,Hora Hora,Waikato County,Medium,KG: Hora Hora (Horahora) on Waikato River; dam/power station community,,,,horahora,South Auckland | North Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland | North Auckland' consistent with district
Auckland,Hora Hora Rapids,Hora Hora Rapids,Waikato County,Low,"KG: same Horahora locality; grade 0, 8 students",,,,,,,INVESTIGATE,No direct source or uncertain assignment; needs further research
Auckland,Houhora,Houhora,Mongonui County,High,Polling: Bay of Islands ED (Hohoura); KG: Far North,,,,houhora,North Auckland,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Houto (12) and Parakao (11),Houto and Parakao,Hobson County,Medium,KG: Hoteo near Kaipara Harbour; Hobson County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Huarau,Huarau,Hobson County,Low,KG: Huarau in Kaipara/Dargaville area; Hobson County,,,,huarau,North Auckland,,CONFIRM,KG evidence identifies location and county
Auckland,Huia,Huia,Eden County,Medium,KG: Huia at Manukau Harbour entrance near Titirangi; Eden County,,,,huia,North Auckland,,CONFIRM,KG evidence identifies location and county
Auckland,Hukerenui South,Hukerenui South,Whangarei County,High,Polling: Bay of Islands ED lists Hukerenui; Whangarei County,,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Huntly District High School Primary (338) secondary (14),Huntly,Waikato County,High,KG: Huntly in Waikato County; not in coordinates_boroughs.csv,,,,huntly,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Jordan (10) and Miranda (9),Jordan and Miranda,Franklin County,Medium,Polling: Franklin ED lists school near Kaiaua; Miranda on Firth of Thames coast = Franklin County,,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Kaeaca (14) and Rira (17),Kaeaca and Rira,Waitomo County,Medium,Polling: Taumarunui ED lists Kaeaea; same district as Paemako (SC: Waitomo),,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Kaiawa (12) and Miranda (9),Kaiawa and Miranda,Franklin County,Medium,Polling: Franklin ED lists school near Kaiaua (Post Town Mangatawhiri); Kaiawa = Kaiaua spelling variant,,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Kaihere,Kaihere,Waikato County,Medium,KG: Kaihere near Ngatea/Patetonga on Hauraki Plains; Waikato County,,,,kaihere,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Kaimanawa,Kaimanawa,East Taupo County,Low,KG: Kaimanawa ranges in East Taupo County; small Maori school,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Kamo,Kamo,Whangarei County,High,Polling: Marsden (Whangarei) ED lists Kamo as polling place,kamo,Marsden,Marsden,kamo,North Auckland,,CONFIRM,Polling ED 'Marsden' confirms county
Auckland,Kara (11) and Kokupu (19),Kara and Kokupu,Whangarei County,High,Polling: Marsden (Whangarei) ED lists Kara as polling place,,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Katikati No.1,Katikati No.1,Tauranga County,High,"small_cities: Katikati, Tauranga, 261",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Katikati No.2,Katikati No.2,Tauranga County,High,"small_cities: Katikati, Tauranga, 261",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Katikati No.3,Katikati No.3,Tauranga County,High,"small_cities: Katikati, Tauranga, 261",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Kawa No.1 (13) and Kawa No.2 (20),Kawa No.1 and Kawa No.2,Waipa County,Low,KG: Kawa locality near Te Awamutu; Waipa County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Kawakawa,Kawakawa,Bay of Islands County,High,Polling: Bay of Islands ED lists Kawakawa (County Council Chambers); Bay of Islands County,kawakawa,Bay Of Islands,Bay Of Islands,kawakawa,North Auckland,,CONFIRM,Polling ED 'Bay Of Islands' confirms county
Auckland,Kawhia,Kawhia,Kawhia County,High,"coordinates_county.csv: Kawhia, Auckland; Kawhia County confirmed",,,,kawhia,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Kennedy Bay,Kennedy Bay,Coromandel County,High,Polling: Thames ED lists Kennedy's Bay as polling place,kennedy’s bay,Thames,,kennedy bay,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Kerepehi,Kerepehi,Thames County,Medium,KG: Kerepehi on Hauraki Plains; Thames County,,,,kerepehi,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Kereta (11) and Waikaway (10),Kereta and Waikaway,Coromandel County,Medium,Polling: Thames ED lists Wilson's Bay Kerita; Kereta = Kerita/Coromandel coast,,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Kerikeri Inlet,Kerikeri Inlet,Bay of Islands County,High,KG: Kerikeri Inlet adjacent to Kerikeri; same county,,,,kerikeri inlet,North Auckland,,CONFIRM,KG evidence identifies location and county
Auckland,Kihikihi,Kihikihi,Waipa County,High,Polling: Waikato ED lists Kihikihi; near Te Awamutu = Waipa County,kihikibi,Waikato,,kihikihi,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Kinohaku No.1,Kinohaku No.1,Waitomo County,Medium,Polling: Taumarunui ED lists Kinohaku; Waitomo County area,,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Kinohaku No.2,Kinohaku No.2,Waitomo County,Medium,Polling: Taumarunui ED lists Kinohaku; Waitomo County area,,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Kohukohu,Kohukohu,Hokianga County,High,Polling: Bay of Islands ED lists Kohukohu (Courthouse),kohukohu,Bay Of Islands,,kohukohu,North Auckland,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Komata South,Komata South,Ohinemuri County,High,"small_cities: Komata, Ohinemuri; same area",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Kopuarahi,Kopuarahi,Thames County,Medium,Polling: Thames ED lists Kopuarahi (Grundy's Store),,,,kopuarahi,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Kutarere,Kutarere,Opotiki County,Medium,Polling: Bay of Plenty ED lists Kutarere; south of Ohiwa Harbour = Opotiki County,,,,kutarere,Gisborne,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Lichfield,Lichfield,Matamata County,Medium,"Post_offices: Putaruru-Lichfield mail service; small_cities: Putaruru, Matamata = same area",birchfield,Buller,,lichfield,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Lochnorrie (23) and Wainui (15),Lochnorrie and Wainui,Rodney County,Low,KG: Wainui near Helensville in Rodney County; Lochnorrie likely same area,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Lower Waitoa,Lower Waitoa,Piako County,High,"small_cities: Waitoa, Piako, 454 (same district)",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Mahurangi Heads West (13) and Puhuehue (9),Mahurangi Heads West and Puhuehue,Rodney County,Medium,KG: Mahurangi near Warkworth; Rodney County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Maihiihi,Maihiihi,Waitomo County,Medium,KG: Maihiihi near Otorohanga; Waitomo County,,,,maihiihi,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Mairoa (16) and Waitanguru (17),Mairoa and Waitanguru,Waitomo County,Medium,Polling: Taumarunui ED lists Mairoa; same area as Kinohaku (Waitomo),,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Makarau (15) and Tahekeroa (15),Makarau and Tahekeroa,Rodney County,Medium,KG: Makarau near Helensville; Rodney County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Manawahe,Manawahe,Rotorua County,Medium,Polling: Bay of Plenty ED lists Manawahe near Roto-iti; Rotorua County,manawahe,Thames,,manawahe,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Mangaotaki,Mangaotaki,Waitomo County,Medium,"KG: Mangaotaki near Pio Pio; small_cities: Piopio, Waitomo, 311",mangatoki,Egmont,,mangaotaki,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Mangatu (14) and Tuamoe (8),Mangatu and Tuamoe,Otamatea County,Medium,Polling: Marsden (Kaipara) ED lists Tutamoe; Otamatea County,,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Mangawai beach,Mangawai beach,Otamatea County,High,"small_cities: Mangawai, Otamatea, 109",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Mangawhero,Mangawhero,Matamata County,Medium,"small_cities: Mangawhero Valley, Matamata, 101; same locality",matawhero,Gisborne,,mangawhero,Taranaki | South Auckland | North Auckland,South Auckland,CONFIRM,Gazetteer land district 'Taranaki | South Auckland | North Auckland' consistent with district
Auckland,Manukau Heads,Manukau Heads,Franklin County,Medium,Polling: Franklin ED lists Manukau Heads,,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Manurewa,Manurewa,Manukau County,High,KG: Manurewa in South Auckland; Manukau County,manurewa,Franklin,,manurewa,North Auckland,,CONFIRM,KG evidence identifies location and county
Auckland,Maraetai Nos.1 (13) and 2 (8),Maraetai Nos.1 and 2,Franklin County,Medium,Polling: Franklin ED lists Maraetai; Maraetai Beach area = Franklin County,,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Maramarua (13) and Maramarya East (10),Maramarua and Maramarya East,Franklin County,Medium,KG: Maramarua near Maraetai/Clevedon = Franklin County,,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Marlow (7) and Ruapekapeka West (12),Marlow and Ruapekapeka West,Bay of Islands County,Medium,KG: Ruapekapeka near Kawakawa; Bay of Islands County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Marsden Point,Marsden Point,Whangarei County,High,KG: Marsden Point on Whangarei Harbour entrance; Whangarei County,,,,marsden point,North Auckland,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Matahuru Nos 1 (16) and 2 (21),Matahuru Nos 1 and 2,Waikato County,High,"small_cities: Matahuru, Waikato, 164",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Matakohe No.2,Matakohe No.2,Otamatea County,High,same locality as Matakohe; Otamatea County,matakohe no. 1,Kaipara,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Matapouri (16) and Tutukaka (17),Matapouri and Tutukaka,Whangarei County,High,KG: Matapouri and Tutukaka on Whangarei east coast; Whangarei County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Maungatautari No.2,Maungatautari No.2,Matamata County,High,same locality as Maungatautari; Matamata County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Maungatawhiri Valley,Maungatawhiri Valley,Franklin County,High,"small_cities: Maungatawhiri, Franklin, 150",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Mercer,Mercer,Waikato County,High,KG: Mercer on Waikato River; Waikato County,mercer,Raglan,,mercer,North Auckland,,CONFIRM,KG evidence identifies location and county
Auckland,Mercury Bay,Mercury Bay,Coromandel County,High,KG: Mercury Bay on Coromandel Peninsula; Coromandel County,,,,mercury bay,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Motutara (11) and Muriwai (15),Motutara and Muriwai,Rodney County,Medium,KG: Muriwai on west coast near Helensville = Rodney County; Motutara same area,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Moumoukai,Moumoukai,Franklin County,High,Polling: Franklin ED lists Moumoukai,moumoukai. ~,Franklin,Franklin,moumoukai,North Auckland,,CONFIRM,Polling ED 'Franklin' confirms county
Auckland,Mount Maunganui,Mount Maunganui,Tauranga County,High,KG: Mount Maunganui at Tauranga Harbour entrance; Tauranga County,,,,mount maunganui,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Mullet Point,Mullet Point,Whangarei County,Medium,Polling: Marsden (Whangarei) ED lists Mullet Point,,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Ngahape (17) and Tokanui (16),Ngahape and Tokanui,West Taupo County,Medium,"small_cities: Tokanui, West Taupo, *259; Ngahape in same area",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Ngapuke,Ngapuke,Ohura County,Medium,Post_offices: Manunui-Ngapuke mail service; Manunui near Taumarunui = Ohura County,,,,ngapuke,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Ngararatunua,Ngararatunua,Waikato County,Low,"KG: probable Waikato County area; grade 3A, 42 students",,,,ngararatunua,North Auckland,,CONFIRM,KG evidence identifies location and county
Auckland,Ngunguru,Ngunguru,Whangarei County,High,KG: Ngunguru on east coast near Whangarei; Whangarei County,,,,ngunguru,North Auckland,,CONFIRM,KG evidence identifies location and county
Auckland,Ngutunui,Ngutunui,Kawhia County,Low,KG: Ngutunui near Kawhia; Kawhia County,,,,ngutunui,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Nukuhou,Nukuhou,Opotiki County,Low,KG: Nukuhou near Opotiki; Opotiki County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Ohauiti,Ohauiti,Tauranga County,Medium,KG: Ohauiti near Tauranga; Tauranga County,,,,ohauiti,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Ohaupo,Ohaupo,Waipa County,High,Polling: Waikato ED lists Ohaupo; near Te Awamutu = Waipa County,ohaupo,Waikato,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Okahu Nos.1 (13) and 2 (7),Okahu Nos.1 and 2,Hobson County,High,"small_cities: Okahu, Hobson, 108",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Okaihau No.2 (8) and Utakura Valley (13),Okaihau No.2 and Utakura Valley,Bay of Islands County,High,same area as Okaihau; Bay of Islands County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Okaihau East,Okaihau East,Bay of Islands County,High,same area as Okaihau; Bay of Islands County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Okupu (11) and Tryphena (13),Okupu and Tryphena,Waitemata County,High,KG: Okupu and Tryphena on Great Barrier Island; Waitemata County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Omaha Little,Omaha Little,Rodney County,Medium,KG: Little Omaha near Warkworth; Rodney County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Omahine,Omahine,Waikato County,Low,"KG: probable Waikato County; grade 3A, 55 students",,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Omana,Omana,Franklin County,Low,KG: Omana Beach near Maraetai/Beachlands = Franklin County,,,,omana,North Auckland,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Omanawa (8) and Omanawa Falls (18),Omanawa and Omanawa Falls,Tauranga County,High,"small_cities: Omanawa, Tauranga, 123",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Omapere,Omapere,Hokianga County,High,Polling: Bay of Islands ED lists Omapere; at Hokianga Harbour entrance,omapere,Bay Of Islands,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Omokoroa,Omokoroa,Tauranga County,High,KG: Omokoroa peninsula in Tauranga Harbour; Tauranga County,omokoroa,Taumarunui,,ōmokoroa,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Onerahi,Onerahi,Whangarei County,High,Polling: Marsden (Whangarei) ED lists Onerahi,onerahi,Marsden,Marsden,onerahi,North Auckland,,CONFIRM,Polling ED 'Marsden' confirms county
Auckland,Opouriao South,Opouriao South,Whakatane County,High,"small_cities: Opouriao, Whakatane, 250",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Opuawhango (18) and Otonga (20),Opuawhango and Otonga,Opotiki County,Low,KG: Opuawhango in Bay of Plenty/Opotiki area,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Oruaiti (14) and Upper Oruaiti (7),Oruaiti and Upper Oruaiti,Whangaroa County,Medium,KG: Oruaiti near Whangaroa/Mangonui area; Whangaroa County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Ostend (5) and Te Huruhi (9),Ostend and Te Huruhi,Waitemata County,High,KG: Ostend on Waiheke Island; Waitemata County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Otaika Valley,Otaika Valley,Whangarei County,High,same area as Otaika; Whangarei County,,,,otaika valley,North Auckland,,CONFIRM,KG evidence identifies location and county
Auckland,Otamarakau,Otamarakau,Tauranga County,Medium,KG: Otamarakau near Maketu; Tauranga County,,,,otamarakau,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Otara East (19) and Tirohanga (17),Otara East and Tirohanga,Opotiki County,Medium,same area as Otara (Opotiki County),,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Otewe,Otewe,Waipa County,Low,KG: Otewe likely near Cambridge; Waipa County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Otorohanga,Otorohanga,Waitomo County,High,KG: Otorohanga in Waitomo County; not in coordinates_boroughs.csv,,,,otorohanga,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Owhiwha (13) and Taraunui (13),Owhiwha and Taraunui,Whakatane County,Medium,KG: Owhiwha = Ohiwa near Whakatane Harbour; Whakatane County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Paemako (25) and Wairiri Falls (15),Paemako and Wairiri Falls,Waitomo County,High,"small_cities: Paemako, Waitomo, 110",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Paerata Ridge,Paerata Ridge,Franklin County,High,"small_cities: Paerata, Franklin, 146",,,,paerata ridge,Gisborne,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Pakanae,Pakanae,Hokianga County,Medium,KG: Pakanae in Hokianga area; Hokianga County,,,,pakanae,North Auckland,,CONFIRM,KG evidence identifies location and county
Auckland,Pakautukua (8) and Port Charles (8),Pakautukua and Port Charles,Coromandel County,High,KG: both on Coromandel Peninsula; Coromandel County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Pakiri,Pakiri,Rodney County,High,Polling: Marsden ED lists Pakiri; Rodney County geography,pakiri,Marsden,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Pakotai,Pakotai,Hobson County,Low,KG: Pakotai near Dargaville; Hobson County area,,,,pakotai,North Auckland,,CONFIRM,KG evidence identifies location and county
Auckland,Papakura,Papakura,Manukau County,Medium,KG: Papakura in South Auckland; not in coordinates_boroughs.csv despite Borough status from 1914,papakura,Franklin,,papakura,North Auckland,,CONFIRM,KG evidence identifies location and county
Auckland,Papamoa No.1,Papamoa No.1,Tauranga County,High,"small_cities: Papamoa, Tauranga, 210",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Papamoa No.2,Papamoa No.2,Tauranga County,High,"small_cities: Papamoa, Tauranga, 210",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Papatoetoe,Papatoetoe,Manukau County,High,"small_cities: Papatoitoi, Manukau, 1062 (same place)",papatoe,Franklin,,papatoetoe,North Auckland,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Paranui (14) and Taipa(5),Paranui and Taipa,Mongonui County,High,KG: Taipa near Mangonui = Mongonui County; Paranui in same area,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Parenga,Parenga,Mongonui County,Low,KG: Parenga in Far North near Mangonui area,,,,paenga,Nelson,,CONFIRM,KG evidence identifies location and county
Auckland,Parua Bay Nos. 1 (23) and 2 (25),Parua Bay Nos. 1 and 2,Whangarei County,High,"small_cities: Parua Bay, Whangarei, 127",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Patetonga,Patetonga,Thames County,Medium,KG: Patetonga on Hauraki Plains near Ngatea; Thames County,,,,patetonga,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
