geo_unit,s1_c0,s2_c0,s2_c1,s3_c0,s3_c1,s3_c2,s4_c0,s4_c1,s4_c2,s4_c3,s5_c0,s5_c1,s5_c2,s5_c3,s5_c4,s6_c0,s6_c1,s6_c2,s6_c3,s6_c4,s6_c5,s7_c0,s7_c1,s7_c2,s7_c3,s7_c4,s7_c5,s7_c6,s8_c0,s8_c1,s8_c2,s8_c3,s8_c4,s8_c5,s8_c6,s8_c7,s9_c0,s9_c1,s9_c2,s9_c3,s9_c4,s9_c5,s9_c6,s9_c7,s9_c8,s10_c0,s10_c1,s10_c2,s10_c3,s10_c4,s10_c5,s10_c6,s10_c7,s10_c8,s10_c9,s11p_c0,s11p_c1,s11p_c2,s11p_c3,s11p_c4,s11p_c5,s11p_c6,s11p_c7,s11p_c8,s11p_c9,s11p_c10
CT00020,228,259,76,282,83,84,293,87,87,69,253,75,75,59,43,186,55,55,44,32,22,125,37,37,29,21,15,11,80,23,24,19,14,9,7,5,47,14,14,11,8,6,4,3,2,27,8,8,6,5,3,2,2,1,1,27,8,8,6,5,3,2,2,1,1,1
CT00021,52,59,17,64,19,19,66,20,20,16,57,17,17,13,10,42,12,13,10,7,5,28,8,8,7,5,3,2,18,5,5,4,3,2,2,1,11,3,3,2,2,1,1,1,0,6,2,2,1,1,1,1,0,0,0,6,2,2,1,1,1,1,0,0,0,0
CT00022,35,39,12,43,13,13,44,13,13,10,38,11,11,9,7,28,8,8,7,5,3,19,6,6,4,3,2,2,12,4,4,3,2,1,1,1,7,2,2,2,1,1,1,0,0,4,1,1,1,1,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0
CT00023,62,71,21,77,23,23,80,24,24,19,69,20,21,16,12,51,15,15,12,9,6,34,10,10,8,6,4,3,22,6,6,5,4,3,2,1,13,4,4,3,2,2,1,1,1,7,2,2,2,1,1,1,0,0,0,7,2,2,2,1,1,1,0,0,0,0
CT00024,56,64,19,70,21,21,73,21,22,17,63,19,19,15,11,46,14,14,11,8,5,31,9,9,7,5,4,3,20,6,6,5,3,2,2,1,12,3,3,3,2,1,1,1,0,7,2,2,2,1,1,1,0,0,0,7,2,2,2,1,1,1,0,0,0,0
CT00025,31,35,10,38,11,11,40,12,12,9,34,10,10,8,6,25,7,8,6,4,3,17,5,5,4,3,2,1,11,3,3,3,2,1,1,1,6,2,2,1,1,1,1,0,0,4,1,1,1,1,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0
CT00026,56,63,19,69,20,21,72,21,21,17,62,18,18,14,11,46,13,14,11,8,5,31,9,9,7,5,4,3,19,6,6,5,3,2,2,1,12,3,3,3,2,1,1,1,0,7,2,2,2,1,1,1,0,0,0,7,2,2,2,1,1,1,0,0,0,0
CT00027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00028,152,173,51,189,56,56,196,58,58,46,169,50,50,40,29,125,37,37,29,21,15,84,25,25,20,14,10,7,53,16,16,12,9,6,5,3,32,9,9,7,5,4,3,2,1,18,5,5,4,3,2,2,1,1,0,18,5,5,4,3,2,2,1,1,0,1
CT00029,92,105,31,114,34,34,119,35,35,28,102,30,30,24,17,75,22,22,18,13,9,51,15,15,12,9,6,4,32,10,10,8,5,4,3,2,19,6,6,4,3,2,2,1,1,11,3,3,3,2,1,1,1,0,0,11,3,3,3,2,1,1,1,0,0,0
CT00030,86,98,29,107,32,32,111,33,33,26,96,28,29,22,16,71,21,21,16,12,8,47,14,14,11,8,6,4,30,9,9,7,5,4,3,2,18,5,5,4,3,2,2,1,1,10,3,3,2,2,1,1,1,0,0,10,3,3,2,2,1,1,1,0,0,0
CT00031,28,32,9,35,10,10,36,11,11,8,31,9,9,7,5,23,7,7,5,4,3,16,5,5,4,3,2,1,10,3,3,2,2,1,1,1,6,2,2,1,1,1,0,0,0,3,1,1,1,1,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0
CT00032,54,61,18,67,20,20,69,20,21,16,60,18,18,14,10,44,13,13,10,7,5,30,9,9,7,5,4,3,19,6,6,4,3,2,2,1,11,3,3,3,2,1,1,1,0,6,2,2,2,1,1,1,0,0,0,6,2,2,1,1,1,1,0,0,0,0
CT00033,85,97,29,106,31,31,110,32,33,26,95,28,28,22,16,70,21,21,16,12,8,47,14,14,11,8,6,4,30,9,9,7,5,4,3,2,18,5,5,4,3,2,1,1,1,10,3,3,2,2,1,1,1,0,0,10,3,3,2,2,1,1,1,0,0,0
CT00034,185,210,62,229,68,68,238,70,71,56,205,61,61,48,35,151,45,45,35,26,18,102,30,30,24,17,12,9,65,19,19,15,11,8,5,4,38,11,11,9,7,5,3,2,2,22,7,7,5,4,3,2,1,1,1,22,6,6,5,4,3,2,1,1,1,1
CT00035,69,78,23,85,25,25,89,26,26,21,77,23,23,18,13,56,17,17,13,10,7,38,11,11,9,6,5,3,24,7,7,6,4,3,2,1,14,4,4,3,2,2,1,1,1,8,2,2,2,1,1,1,0,0,0,8,2,2,2,1,1,1,0,0,0,0
CT00036,77,87,26,95,28,28,99,29,29,23,85,25,25,20,15,63,19,19,15,11,7,42,12,13,10,7,5,4,27,8,8,6,5,3,2,2,16,5,5,4,3,2,1,1,1,9,3,3,2,2,1,1,1,0,0,9,3,3,2,2,1,1,1,0,0,0
CT00037,45,51,15,56,16,17,58,17,17,14,50,15,15,12,9,37,11,11,9,6,4,25,7,7,6,4,3,2,16,5,5,4,3,2,1,1,9,3,3,2,2,1,1,1,0,5,2,2,1,1,1,0,0,0,0,5,2,2,1,1,1,0,0,0,0,0
CT00038,85,97,29,106,31,32,110,32,33,26,95,28,28,22,16,70,21,21,16,12,8,47,14,14,11,8,6,4,30,9,9,7,5,4,3,2,18,5,5,4,3,2,1,1,1,10,3,3,2,2,1,1,1,0,0,10,3,3,2,2,1,1,1,0,0,0
CT00039,105,120,35,131,39,39,136,40,40,32,117,35,35,27,20,86,25,26,20,15,10,58,17,17,14,10,7,5,37,11,11,9,6,4,3,2,22,6,6,5,4,3,2,1,1,13,4,4,3,2,2,1,1,1,0,12,4,4,3,2,1,1,1,1,0,0
CT00040,57,65,19,70,21,21,73,22,22,17,63,19,19,15,11,47,14,14,11,8,6,31,9,9,7,5,4,3,20,6,6,5,3,2,2,1,12,3,4,3,2,1,1,1,0,7,2,2,2,1,1,1,0,0,0,7,2,2,2,1,1,1,0,0,0,0
CT00041,50,57,17,62,18,18,65,19,19,15,56,16,17,13,9,41,12,12,10,7,5,28,8,8,6,5,3,2,18,5,5,4,3,2,1,1,10,3,3,2,2,1,1,1,0,6,2,2,1,1,1,1,0,0,0,6,2,2,1,1,1,1,0,0,0,0
CT00042,35,40,12,43,13,13,45,13,13,10,39,11,12,9,7,28,8,8,7,5,3,19,6,6,4,3,2,2,12,4,4,3,2,1,1,1,7,2,2,2,1,1,1,0,0,4,1,1,1,1,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0
CT00043,74,85,25,92,27,27,96,28,28,22,83,24,25,19,14,61,18,18,14,10,7,41,12,12,10,7,5,3,26,8,8,6,4,3,2,2,15,5,5,4,3,2,1,1,1,9,3,3,2,2,1,1,1,0,0,9,3,3,2,1,1,1,1,0,0,0
CT00044,48,55,16,60,18,18,62,18,18,14,53,16,16,12,9,39,12,12,9,7,5,26,8,8,6,4,3,2,17,5,5,4,3,2,1,1,10,3,3,2,2,1,1,1,0,6,2,2,1,1,1,0,0,0,0,6,2,2,1,1,1,0,0,0,0,0
CT00045,17,19,6,21,6,6,21,6,6,5,18,5,6,4,3,14,4,4,3,2,2,9,3,3,2,2,1,1,6,2,2,1,1,1,0,0,3,1,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
CT00046,39,44,13,48,14,14,50,15,15,12,43,13,13,10,7,32,9,9,7,5,4,21,6,6,5,4,3,2,14,4,4,3,2,2,1,1,8,2,2,2,1,1,1,0,0,5,1,1,1,1,1,0,0,0,0,5,1,1,1,1,1,0,0,0,0,0
CT00047,32,37,11,40,12,12,41,12,12,10,36,11,11,8,6,26,8,8,6,4,3,18,5,5,4,3,2,1,11,3,3,3,2,1,1,1,7,2,2,2,1,1,1,0,0,4,1,1,1,1,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0
CT00048,26,30,9,33,10,10,34,10,10,8,29,9,9,7,5,22,6,6,5,4,3,15,4,4,3,2,2,1,9,3,3,2,2,1,1,1,5,2,2,1,1,1,0,0,0,3,1,1,1,1,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0
CT00049,83,95,28,103,30,31,107,32,32,25,93,27,28,22,16,68,20,20,16,12,8,46,14,14,11,8,5,4,29,9,9,7,5,3,2,2,17,5,5,4,3,2,1,1,1,10,3,3,2,2,1,1,1,0,0,10,3,3,2,2,1,1,1,0,0,0
CT00050,51,58,17,63,19,19,65,19,19,15,56,17,17,13,10,41,12,12,10,7,5,28,8,8,7,5,3,2,18,5,5,4,3,2,2,1,10,3,3,2,2,1,1,1,0,6,2,2,1,1,1,1,0,0,0,6,2,2,1,1,1,1,0,0,0,0
CT00051,50,57,17,62,18,18,64,19,19,15,56,16,17,13,9,41,12,12,10,7,5,27,8,8,6,5,3,2,17,5,5,4,3,2,1,1,10,3,3,2,2,1,1,1,0,6,2,2,1,1,1,1,0,0,0,6,2,2,1,1,1,0,0,0,0,0
CT00052,48,54,16,59,17,18,62,18,18,14,53,16,16,12,9,39,12,12,9,7,5,26,8,8,6,4,3,2,17,5,5,4,3,2,1,1,10,3,3,2,2,1,1,1,0,6,2,2,1,1,1,0,0,0,0,6,2,2,1,1,1,0,0,0,0,0
CT00053,71,80,24,87,26,26,91,27,27,21,78,23,23,18,13,58,17,17,13,10,7,39,11,12,9,7,5,3,25,7,7,6,4,3,2,1,15,4,4,3,2,2,1,1,1,8,3,3,2,1,1,1,1,0,0,8,2,2,2,1,1,1,0,0,0,0
CT00054,42,48,14,52,15,16,54,16,16,13,47,14,14,11,8,34,10,10,8,6,4,23,7,7,5,4,3,2,15,4,4,3,3,2,1,1,9,3,3,2,1,1,1,1,0,5,1,2,1,1,1,0,0,0,0,5,1,1,1,1,1,0,0,0,0,0
CT00055,95,109,32,118,35,35,123,36,37,29,106,31,32,25,18,78,23,23,18,13,9,53,15,16,12,9,6,4,33,10,10,8,6,4,3,2,20,6,6,5,3,2,2,1,1,11,3,3,3,2,1,1,1,0,0,11,3,3,3,2,1,1,1,0,0,0
CT00056,117,133,39,145,43,43,151,45,45,35,130,38,39,30,22,96,28,29,22,16,11,64,19,19,15,11,8,5,41,12,12,10,7,5,3,2,24,7,7,6,4,3,2,1,1,14,4,4,3,2,2,1,1,1,0,14,4,4,3,2,2,1,1,1,0,1
CT00057,46,53,16,57,17,17,60,18,18,14,52,15,15,12,9,38,11,11,9,6,5,25,8,8,6,4,3,2,16,5,5,4,3,2,1,1,10,3,3,2,2,1,1,1,0,6,2,2,1,1,1,0,0,0,0,5,2,2,1,1,1,0,0,0,0,0
CT00058,11,13,4,14,4,4,14,4,4,3,12,4,4,3,2,9,3,3,2,2,1,6,2,2,1,1,1,1,4,1,1,1,1,0,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CT00059,80,91,27,99,29,29,103,30,31,24,89,26,26,21,15,65,19,19,15,11,8,44,13,13,10,7,5,4,28,8,8,7,5,3,2,2,17,5,5,4,3,2,1,1,1,10,3,3,2,2,1,1,1,0,0,9,3,3,2,2,1,1,1,0,0,0
CT00060,13,15,4,16,5,5,17,5,5,4,15,4,4,3,2,11,3,3,3,2,1,7,2,2,2,1,1,1,5,1,1,1,1,1,0,0,3,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CT00061,62,71,21,77,23,23,80,24,24,19,69,20,21,16,12,51,15,15,12,9,6,34,10,10,8,6,4,3,22,6,6,5,4,3,2,1,13,4,4,3,2,2,1,1,1,8,2,2,2,1,1,1,0,0,0,7,2,2,2,1,1,1,0,0,0,0
CT00062,7,8,2,9,3,3,9,3,3,2,8,2,2,2,1,6,2,2,1,1,1,4,1,1,1,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CT00063,21,24,7,26,8,8,27,8,8,6,24,7,7,5,4,17,5,5,4,3,2,12,3,3,3,2,1,1,7,2,2,2,1,1,1,0,4,1,1,1,1,1,0,0,0,3,1,1,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0
CT00064,42,48,14,52,15,16,54,16,16,13,47,14,14,11,8,35,10,10,8,6,4,23,7,7,5,4,3,2,15,4,4,3,3,2,1,1,9,3,3,2,1,1,1,1,0,5,2,2,1,1,1,0,0,0,0,5,1,1,1,1,1,0,0,0,0,0
CT00065,45,51,15,55,16,16,58,17,17,13,50,15,15,12,8,37,11,11,9,6,4,25,7,7,6,4,3,2,16,5,5,4,3,2,1,1,9,3,3,2,2,1,1,1,0,5,2,2,1,1,1,0,0,0,0,5,2,2,1,1,1,0,0,0,0,0
CT00066,34,39,11,42,13,13,44,13,13,10,38,11,11,9,6,28,8,8,7,5,3,19,6,6,4,3,2,2,12,4,4,3,2,1,1,1,7,2,2,2,1,1,1,0,0,4,1,1,1,1,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0
CT00067,57,65,19,71,21,21,74,22,22,17,64,19,19,15,11,47,14,14,11,8,6,31,9,9,7,5,4,3,20,6,6,5,3,2,2,1,12,3,4,3,2,1,1,1,0,7,2,2,2,1,1,1,0,0,0,7,2,2,2,1,1,1,0,0,0,0
CT00068,60,69,20,75,22,22,78,23,23,18,67,20,20,16,11,49,15,15,12,8,6,33,10,10,8,6,4,3,21,6,6,5,4,3,2,1,12,4,4,3,2,1,1,1,1,7,2,2,2,1,1,1,0,0,0,7,2,2,2,1,1,1,0,0,0,0
CT00069,29,33,10,36,10,11,37,11,11,9,32,9,9,7,5,23,7,7,5,4,3,16,5,5,4,3,2,1,10,3,3,2,2,1,1,1,6,2,2,1,1,1,1,0,0,3,1,1,1,1,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0
CT00070,49,56,16,61,18,18,63,19,19,15,55,16,16,13,9,40,12,12,9,7,5,27,8,8,6,5,3,2,17,5,5,4,3,2,1,1,10,3,3,2,2,1,1,1,0,6,2,2,1,1,1,1,0,0,0,6,2,2,1,1,1,0,0,0,0,0
CT00071,83,94,28,103,30,31,107,31,32,25,92,27,27,22,16,68,20,20,16,12,8,46,13,14,11,8,5,4,29,9,9,7,5,3,2,2,17,5,5,4,3,2,1,1,1,10,3,3,2,2,1,1,1,0,0,10,3,3,2,2,1,1,1,0,0,0
CT00072,34,39,12,43,13,13,44,13,13,10,38,11,11,9,7,28,8,8,7,5,3,19,6,6,4,3,2,2,12,4,4,3,2,1,1,1,7,2,2,2,1,1,1,0,0,4,1,1,1,1,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0
CT00073,52,59,17,64,19,19,67,20,20,16,58,17,17,13,10,42,13,13,10,7,5,29,8,8,7,5,3,2,18,5,5,4,3,2,2,1,11,3,3,3,2,1,1,1,0,6,2,2,1,1,1,1,0,0,0,6,2,2,1,1,1,1,0,0,0,0
CT00074,29,33,10,36,11,11,37,11,11,9,32,10,10,8,5,24,7,7,6,4,3,16,5,5,4,3,2,1,10,3,3,2,2,1,1,1,6,2,2,1,1,1,1,0,0,3,1,1,1,1,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0
CT00075,97,111,33,121,36,36,126,37,37,29,108,32,32,25,18,80,24,24,19,14,9,54,16,16,13,9,6,5,34,10,10,8,6,4,3,2,20,6,6,5,3,2,2,1,1,12,3,3,3,2,1,1,1,0,0,11,3,3,3,2,1,1,1,0,0,0
CT00076,21,24,7,26,8,8,27,8,8,6,23,7,7,5,4,17,5,5,4,3,2,12,3,3,3,2,1,1,7,2,2,2,1,1,1,0,4,1,1,1,1,1,0,0,0,3,1,1,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0
CT00077,76,86,25,94,28,28,98,29,29,23,84,25,25,20,14,62,18,18,14,11,7,42,12,12,10,7,5,4,26,8,8,6,5,3,2,2,16,5,5,4,3,2,1,1,1,9,3,3,2,2,1,1,1,0,0,9,3,3,2,2,1,1,1,0,0,0
CT00078,49,56,17,61,18,18,63,19,19,15,55,16,16,13,9,40,12,12,9,7,5,27,8,8,6,5,3,2,17,5,5,4,3,2,1,1,10,3,3,2,2,1,1,1,0,6,2,2,1,1,1,1,0,0,0,6,2,2,1,1,1,0,0,0,0,0
CT00079,129,147,43,160,47,48,166,49,50,39,144,42,43,34,24,106,31,31,25,18,13,71,21,21,17,12,8,6,45,13,13,11,8,5,4,3,27,8,8,6,5,3,2,2,1,16,5,5,4,3,2,1,1,1,0,15,4,5,4,3,2,1,1,1,0,1
CT00080,54,61,18,67,20,20,70,21,21,16,60,18,18,14,10,44,13,13,10,8,5,30,9,9,7,5,4,3,19,6,6,4,3,2,2,1,11,3,3,3,2,1,1,1,0,7,2,2,2,1,1,1,0,0,0,6,2,2,1,1,1,1,0,0,0,0
CT00081,31,35,10,38,11,11,39,12,12,9,34,10,10,8,6,25,7,7,6,4,3,17,5,5,4,3,2,1,11,3,3,2,2,1,1,1,6,2,2,1,1,1,1,0,0,4,1,1,1,1,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0
CT00082,25,28,8,31,9,9,32,9,10,7,28,8,8,6,5,20,6,6,5,3,2,14,4,4,3,2,2,1,9,3,3,2,1,1,1,1,5,2,2,1,1,1,0,0,0,3,1,1,1,1,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0
CT00083,16,18,5,20,6,6,21,6,6,5,18,5,5,4,3,13,4,4,3,2,2,9,3,3,2,1,1,1,6,2,2,1,1,1,0,0,3,1,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
CT00084,406,462,136,503,149,150,523,154,156,122,452,133,134,106,77,333,98,99,78,57,40,224,66,67,52,38,27,19,142,42,42,33,24,17,12,8,84,25,25,20,14,10,7,5,4,49,14,15,11,8,6,4,3,2,1,48,14,14,11,8,6,4,3,2,1,2
CT00085,30,34,10,37,11,11,38,11,11,9,33,10,10,8,6,24,7,7,6,4,3,16,5,5,4,3,2,1,10,3,3,2,2,1,1,1,6,2,2,1,1,1,1,0,0,4,1,1,1,1,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0
CT00086,83,94,28,103,30,31,107,32,32,25,92,27,27,22,16,68,20,20,16,12,8,46,13,14,11,8,5,4,29,9,9,7,5,3,2,2,17,5,5,4,3,2,1,1,1,10,3,3,2,2,1,1,1,0,0,10,3,3,2,2,1,1,1,0,0,0
CT00087,93,106,31,116,34,34,120,35,36,28,104,31,31,24,18,76,23,23,18,13,9,51,15,15,12,9,6,4,33,10,10,8,6,4,3,2,19,6,6,5,3,2,2,1,1,11,3,3,3,2,1,1,1,0,0,11,3,3,3,2,1,1,1,0,0,0
CT00088,30,34,10,37,11,11,39,11,12,9,34,10,10,8,6,25,7,7,6,4,3,17,5,5,4,3,2,1,11,3,3,2,2,1,1,1,6,2,2,1,1,1,1,0,0,4,1,1,1,1,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0
CT00089,79,90,27,98,29,29,102,30,30,24,88,26,26,21,15,65,19,19,15,11,8,44,13,13,10,7,5,4,28,8,8,6,5,3,2,2,16,5,5,4,3,2,1,1,1,10,3,3,2,2,1,1,1,0,0,9,3,3,2,2,1,1,1,0,0,0
CT00090,74,84,25,92,27,27,96,28,28,22,82,24,25,19,14,61,18,18,14,10,7,41,12,12,10,7,5,3,26,8,8,6,4,3,2,2,15,5,5,4,3,2,1,1,1,9,3,3,2,2,1,1,1,0,0,9,3,3,2,1,1,1,1,0,0,0
CT00091,15,17,5,18,5,5,19,6,6,4,16,5,5,4,3,12,4,4,3,2,1,8,2,2,2,1,1,1,5,2,2,1,1,1,0,0,3,1,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
CT00092,28,32,9,35,10,10,36,11,11,8,31,9,9,7,5,23,7,7,5,4,3,16,5,5,4,3,2,1,10,3,3,2,2,1,1,1,6,2,2,1,1,1,0,0,0,3,1,1,1,1,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0
CT00093,81,92,27,100,30,30,104,31,31,24,90,27,27,21,15,66,20,20,15,11,8,44,13,13,10,8,5,4,28,8,8,7,5,3,2,2,17,5,5,4,3,2,1,1,1,10,3,3,2,2,1,1,1,0,0,10,3,3,2,2,1,1,1,0,0,0
CT00094,16,18,5,19,6,6,20,6,6,5,17,5,5,4,3,13,4,4,3,2,2,9,3,3,2,1,1,1,5,2,2,1,1,1,0,0,3,1,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
CT00095,63,71,21,78,23,23,81,24,24,19,70,21,21,16,12,51,15,15,12,9,6,34,10,10,8,6,4,3,22,6,7,5,4,3,2,1,13,4,4,3,2,2,1,1,1,8,2,2,2,1,1,1,0,0,0,7,2,2,2,1,1,1,0,0,0,0
CT00096,29,33,10,35,10,11,37,11,11,9,32,9,9,7,5,23,7,7,5,4,3,16,5,5,4,3,2,1,10,3,3,2,2,1,1,1,6,2,2,1,1,1,1,0,0,3,1,1,1,1,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0
