school,county_borough,evidence,confidence,locality,town_district,notes
"Omakere",Patangata County,"KG: Omakere near Porangahau; Patangata County",Low,Omakere,,
"Ongaonga",Waipawa County,"small_cities: Ongaonga, Waipawa, 330",High,Ongaonga,,
"Opapa",Waipawa County,"KG: Opapa near Ongaonga; Waipawa County",Medium,Opapa,,
"Opoutama",Wairoa County,"KG: Opoutama near Mahia Peninsula; Wairoa County",Medium,Opoutama,,
"Ormond",Cook County,"small_cities: Ormond, Cook, 523",High,Ormond,,
"Ormondville",Dannevirke County,"Polling: Waipawa ED lists Ormondville (Town Board Office); Dannevirke County",High,Ormondville,,
"Otamauri",Hawke's Bay County,"KG: Otamauri near Tikokino; Hawke's Bay County",Low,Otamauri,,
"Otane",Waipawa County,"Polling: Waipawa ED lists Otane (Public Hall)",High,Otane,,
"Otoko",Waikohu County,"small_cities: Otoko, Waikohu, 172",High,Otoko,,
"Pakipaki",Hawke's Bay County,"small_cities: Pakipaki, Hawke's Bay, 200",High,Pakipaki,,
"Pakowhai",Hawke's Bay County,"small_cities: Pakowhai, Hawke's Bay, 236",High,Pakowhai,,
"Papatawa",Woodville County,"small_cities: Papatawa, Woodville, 147",High,Papatawa,,
"Patangata",Patangata County,"KG: Patangata in Patangata County; small_cities: Tamumu, Patangata nearby",Medium,Patangata,,
"Patoka",Hawke's Bay County,"small_cities: Patoka, Hawke's Bay, 133",High,Patoka,,
"Patutahi",Cook County,"small_cities: Patutahi, Cook, 649",High,Patutahi,,
"Pehiri",Unresolved,"Grade 1, 9 students; no source",Unresolved,,,
"Petane",Hawke's Bay County,"small_cities: Petane, Hawke's Bay, 271",High,Petane,,
"Porangahau",Patangata County,"small_cities: Porangahau, Patangata, 405",High,Porangahau,,
"Port Awanui",Waiapu County,"KG: Port Awanui on East Cape; Waiapu County",High,Port Awanui,,
"Pouawa",Cook County,"KG: Pouawa near Gisborne coast; Cook County",Low,Pouawa,,
"Puha",Waikohu County,"small_cities: Puha, Waikohu, 205",High,Puha,,
"Pukahu",Hawke's Bay County,"small_cities: Pukahu, Hawke's Bay, 169",High,Pukahu,,
"Puketapu",Hawke's Bay County,"small_cities: Puketapu, Hawke's Bay, 173",High,Puketapu,,
"Puketitiri",Hawke's Bay County,"small_cities: Puketitiri, Hawke's Bay, 143",High,Puketitiri,,
"Putorino",Wairoa County,"KG: Putorino north of Wairoa; Wairoa County",Low,Putorino,,
"Rakauroa",Waikohu County,"small_cities: Rakauroa, Waikohu, 145",High,Rakauroa,,
"Raumati",Dannevirke County,"small_cities: Raumati, Dannevirke, 124",High,Raumati,,
"Rissington",Hawke's Bay County,"small_cities: Rissington, Hawke's Bay, 136",High,Rissington,,
"Ruaroa",Cook County,"KG: Ruaroa near Gisborne; Cook County",Low,Ruaroa,,
"Ruataniwha",Waipawa County,"KG: Ruataniwha near Waipawa; Waipawa County",Medium,Ruataniwha,,
"Sherenden",Hawke's Bay County,"KG: Sherenden near Napier; Hawke's Bay County",Low,Sherenden,,
"Springhill",Unresolved,"Grade 2, 27 students; no source",Unresolved,,,
"Takapau",Waipawa County,"small_cities: Takapau, Waipawa, 442",High,Takapau,,
"Tangatapua",Unresolved,"Grade 0, 2 students; too small to place",Unresolved,,,
"Tangitere",Cook County,"KG: Tangitere near Gisborne; Cook County",Low,Tangitere,,
"Taradale (237) and Greenmeadows (side school) (53)",Hawke's Bay County,"Polling: Napier ED lists Taradale (Town Hall); not a Borough; Hawke's Bay County",High,Taradale,,Greenmeadows is side school
"Te Arai",Hawke's Bay County,"KG: Te Arai near Napier; Hawke's Bay County",Medium,Te Arai,,
"Te Hua",Unresolved,"Grade 0, 3 students; no source",Unresolved,,,
"Te Karaka",Waikohu County,"small_cities: Te Karaka, Waikohu, 467",High,Te Karaka,,
"Te Pohue",Hawke's Bay County,"KG: Te Pohue inland from Napier; Hawke's Bay County",Low,Te Pohue,,
"Te Puia Springs",Waiapu County,"KG: Te Puia Springs on East Cape; Waiapu County",Medium,Te Puia Springs,,
"Te Rehunga",Dannevirke County,"small_cities: Te Rehunga, Dannevirke, 406",High,Te Rehunga,,
"Te Uri",Unresolved,"Grade 1, 10 students; no source",Unresolved,,,
"Tikokino",Waipawa County,"small_cities: Tikokino, Waipawa, 289",High,Tikokino,,
"Tiniroto",Cook County,"small_cities: Tiniroto, Cook, 171",High,Tiniroto,,
"Tipapakuku",Hawke's Bay County,"KG: Tipapakuku near Napier; Hawke's Bay County",Medium,Tipapakuku,,
"Ti-tree Point",Weber County,"small_cities: Ti-tree Point, Weber, 103",High,Ti-tree Point,,
"Tokomaru Bay",Waiapu County,"small_cities: Tokomaru Bay, Waiapu, 806",High,Tokomaru Bay,,
"Tolaga Bay",Cook County,"small_cities: Tolaga Bay, Cook, 381",High,Tolaga Bay,,
"Tutira",Hawke's Bay County,"KG: Tutira north of Napier at Lake Tutira; Hawke's Bay County",High,Tutira,,
"Twyford",Hawke's Bay County,"small_cities: Twyford, Hawke's Bay, 162",High,Twyford,,
"Umutaoroa",Dannevirke County,"small_cities: Umutaoroa, Dannevirke, 201",High,Umutaoroa,,
"Waerengaahika",Cook County,"small_cities: Waerengaahika, Cook, 263",High,Waerengaahika,,
"Waikari",Wairoa County,"KG: Waikari near Wairoa area; Wairoa County",Low,Waikari,,
"Waikohu",Waikohu County,"small_cities: Waikohu, Waikohu, 155",High,Waikohu,,
"Waimata Valley",Cook County,"small_cities: Waimata, Cook, 222",High,Waimata Valley,,
"Waingake",Cook County,"small_cities: Waingake, Cook, 133",High,Waingake,,
"Waimoko",Unresolved,"Grade 0, 5 students; no source",Unresolved,,,
"Waipawa District High School Primary (220) Secondary (40)",Waipawa Borough,"coordinates_boroughs.csv: Waipawa Borough",High,Waipawa,,
"Waipiro Bay",Waiapu County,"small_cities: Waipiro Bay, Waiapu, 197",High,Waipiro Bay,,
"Waipukurau",Waipukurau Borough,"coordinates_boroughs.csv: Waipukurau Borough",High,Waipukurau,,
"Wairoa",Wairoa Borough,"coordinates_boroughs.csv: Wairoa Borough",High,Wairoa,,
"Waitahora",Dannevirke County,"KG: Waitahora near Dannevirke; Dannevirke County",Low,Waitahora,,
"Waitio",Unresolved,"Grade 0, 4 students; no source",Unresolved,,,
"Wakarara",Waipawa County,"small_cities: Wakarara, Waipawa, 124",High,Wakarara,,
"Wallingford",Patangata County,"small_cities: Wallingford, Patangata, 137",High,Wallingford,,
"Wanstead",Patangata County,"small_cities: Wanstead, Patangata, 175",High,Wanstead,,
"Weber",Weber County,"small_cities: Weber, Weber, 207",High,Weber,,
"Whakarau",Cook County,"KG: Whakarau near Gisborne; Cook County",Medium,Whakarau,,
"Wharekopae",Waikohu County,"small_cities: Wharekopae, Waikohu, 108",High,Wharekopae,,
"Whatatutu",Waikohu County,"small_cities: Whatatutu, Waikohu, 222",High,Whatatutu,,
"Whetukura",Dannevirke County,"small_cities: Whetukura, Dannevirke, 167",High,Whetukura,,
"Wigan",Cook County,"Polling: Gisborne ED lists Wigan (Tolaga Bay); Cook County",High,Wigan,Tolaga Bay area,
"Wimbledon",Weber County,"small_cities: Wimbledon, Weber, 114",High,Wimbledon,,
"Woodlands",Wairoa County,"KG: Woodlands in Wairoa County area",Low,Woodlands,,No direct source
"Woodville District High School Primary (309) Secondary (31)",Woodville Borough,"coordinates_boroughs.csv: Woodville Borough",High,Woodville,,
