school,county_borough,evidence,confidence,locality,town_district,notes
Blacks,Bruce County,Near Milton; Bruce County,Low,Milton area,,
Blackstone,Maniototo County,Polling: Otago Central ED (line 1159 'Blackstone Hill'); near St Bathans,High,Blackstone Hill,Maniototo,
Bluespur,Waitaki County,Near Oamaru; no direct source,Low,Oamaru area,,
Brighton,Taieri County,Polling: Chalmers ED (line 1281); south coast near Taieri mouth,High,Brighton,,
Broad Bay,Peninsula County,Polling: Chalmers ED (line 1265); Otago Peninsula,High,Broad Bay,Dunedin peninsula,
Cambrians,Maniototo County,Polling: Otago Central ED (line 1161); near St Bathans,High,Cambrian,Maniototo,
Caversham,Dunedin Borough,Polling: Dunedin Central ED (lines 1245-1246); inner suburb,High,Caversham,Dunedin,
Chaslands,Clutha County,Remote Catlins coast; Clutha County,High,Chaslands,Owaka area,
Chatto Creek,Vincent County,Polling: Otago Central ED (line 1165); near Omakau/Ophir,High,Chatto Creek,Alexandra area,
Clark's Flat,Tuapeka County,Near Lawrence; Tuapeka County,Low,Lawrence area,,
Clinton,Clutha County,Railway junction town; Clutha County (town board not borough),High,Clinton,,
Clyde,Clyde Borough,Polling: Wakatipu ED (line 1350); incorporated borough,High,Clyde,,
Clydevale,Clutha County,Near Balclutha; Clutha County,High,Clydevale,,
Coal Creek,Tuapeka County,small_cities: Coal Creek → Tuapeka County (179); corrected from Vincent County,High,Roxburgh area,,
Concord,Dunedin Borough,Large Dunedin city school; Dunedin Borough,High,Dunedin,,
Conicall Hill,Clutha County,small_cities: Conical Hill → Clutha County (105); corrected from Tuapeka County,High,Conical Hill,Tapanui area,
Cromwell,Cromwell Borough,Polling: Wakatipu ED (line 1297 Courthouse); incorporated borough,High,Cromwell,,
Crookston,Tuapeka County,Polling: Otago Central ED (line 1175); near Kelso/Lawrence,High,Crookston,Lawrence area,
Dunback,Waihemo County,small_cities: Dunback → Waihemo County (345); corrected from Waikouaiti County,High,Palmerston area,,
Dunrobin,Tuapeka County,Polling: Otago Central ED (line 1182); near Tapanui area,Medium,Tapanui area,,
Duntroon,Waitaki County,Polling: Waitaki ED (line 1118); Waitaki Valley,High,Duntroon,,
Earnscleugh,Vincent County,Near Alexandra; Vincent County,High,Alexandra area,,
East Taieri,Taieri County,Polling: Chalmers ED (line 1287 'East Taieri'); Taieri Plain,High,East Taieri,,
Edievale,Tuapeka County,Polling: Otago Central ED (line 1176 Mr Spencer's House); near Kelso,High,Edievale,Tapanui area,
Elderslie,Bruce County,Near Lovell's Flat/Bruce County area; no direct source,Low,,,
Ettrick,Tuapeka County,small_cities: Ettrick → Tuapeka County (153); corrected from Vincent County,High,Ettrick,Roxburgh area,
Evansdale,Waikouaiti County,Near Dunedin north coast; Waikouaiti County,Medium,Evansdale,,
Evans Flat,Tuapeka County,Near Lawrence; Tuapeka County,Medium,Lawrence area,,
Fair View,Clutha County,Very small (avg 2); no direct source,Low,,,
Five Forks,Tuapeka County,Gold area near Lawrence; Tuapeka County,Low,Lawrence area,,
Flag Swamp,Taieri County,Taieri Plain south of Dunedin; Taieri County,Medium,Allanton area,,
Forbury,Dunedin Borough,Dunedin South ED; coastal suburb,High,Dunedin,,
Galloway,Vincent County,Polling: Otago Central ED (line 1166); Manuherikia Valley near Alexandra,High,Galloway,Alexandra area,
George Street,Dunedin Borough,Polling: Dunedin North ED (line 1221); city school,High,Dunedin,,
Gimmerburn,Maniototo County,Polling: Otago Central ED (line 1184); Maniototo,High,Gimmerburn,Ranfurly area,
Glenkenich,Clutha County,small_cities: Glenkenich → Clutha County (216); corrected from Tuapeka County,High,Glenkenich,Kelso area,
Glenledi,Clutha County,Small; Catlins area; no direct source,Low,,,
Glenomaru,Clutha County,Catlins area; Clutha County,Medium,Owaka area,,
Glenore,Bruce County,Near Milton/Lovell's Flat; Bruce County,Low,Milton area,,
Goodwood,Clutha County,Near Catlins/Owaka; Clutha County,Low,Owaka area,,
Greenfield,Waitaki County,Near Oamaru; no direct source,Low,Oamaru area,,
Green Island,Green Island Borough,Polling: Dunedin Central ED (line 1247); incorporated borough,High,Green Island,,
Hampden,Waitaki County,North Otago coastal town; Waitaki County (town board not borough),High,Hampden,,
Hawea,Lake County,Near Lake Hawea; Lake County,High,Hawea Flat,,
Henley,Taieri County,Polling: Chalmers ED (line 1286); Taieri Plain near Waihola,High,Henley,,
Heriot,Tuapeka County,Railway: Tapanui Branch (line 1967); near Tapanui,High,Heriot,Tapanui area,
Highcliff,Peninsula County,Polling: Chalmers ED (line 1263); Otago Peninsula,High,Highcliff,Dunedin peninsula,
High Street,Dunedin Borough,Polling: Dunedin Central ED (line 1240); city school,High,Dunedin,,
Hillend,Bruce County,Verdict CORRECT from enriched review; was: Tuapeka County,Medium,Tapanui area,,
Hill Springs,Waitaki County,Possibly near Oamaru; no direct source,Low,,,
Hinahina,Clutha County,Coastal south Otago; Clutha County,Low,,,
Hindon Railway,Maniototo County,"Polling: Otago Central ED (line 1211 'Ladies' Waiting-room, Hindon Railway-station')",High,Hindon,Middlemarch area,
Hooper's Inlet,Peninsula County,Polling: Chalmers ED (line 1267); Otago Peninsula,High,Hooper's Inlet,Dunedin peninsula,
Houipapa,Clutha County,Near Kahuika/Catlins; Clutha County (railway: Kahuika siding),Medium,Catlins area,,
Hyde,Maniototo County,Polling: Otago Central ED (line 1213 Courthouse Hyde); Strath Taieri,High,Hyde,Middlemarch area,
Ida Valley,Maniototo County,Polling: Otago Central ED (line 1216); near Oturehua,High,Ida Valley,Maniototo,
Incholme,Waitaki County,"Polling: Waitaki ED (line 1150 'The Public School, Incholme')",High,Incholme,Oamaru area,
Inch Valley,Waitaki County,Near Maheno/Oamaru; no direct source,Low,Oamaru area,,
Island Cliffe,Waitaki County,Near Oamaru coast; Waitaki County,Medium,Oamaru area,,
Kahuika,Clutha County,Railway: Kahuika siding (Catlins area); Clutha County,High,Catlins area,,
Kaihiku,Tuapeka County,Near Tapanui; Tuapeka County,Medium,Tapanui area,,
Kaikorai,Dunedin Borough,Kaikorai Valley; Dunedin Borough,High,Kaikorai,Dunedin,
Kaitangata,Kaitangata Borough,Polling: coordinates_boroughs.csv; incorporated borough,High,Kaitangata,,
Kakanui,Waitaki County,Coastal North Otago near Oamaru; Waitaki County,High,Kakanui,,
Kakapuaka,Clutha County,Railway: Balclutha-Invercargill (line 2387 Kakapuaka); near Clinton,High,Kakapuaka,,
Karitane,Waikouaiti County,Coastal north of Dunedin; Waikouaiti County,High,Karitane,,
Kartigi,Waitaki County,Possibly near Oamaru coast; no direct source,Low,,,
Katea,Clutha County,Possibly near Clutha area; no direct source,Low,,,
Kauroo,Waitaki County,Kauroo Hill near Oamaru; Waitaki County,Medium,Oamaru area,,
Kelso,Tuapeka County,Railway: Tapanui Branch (line 2510); Tuapeka County,High,Kelso,Tapanui area,
Kensington,Dunedin Borough,Dunedin city suburb; Dunedin Borough,High,Dunedin,,
Kia Ora,Clutha County,Near Balclutha area; Clutha County,Low,,,
Killermont,Tuapeka County,Very small (avg 1); possibly near Lawrence; no direct source,Low,,,
Kokoano,Clutha County,Possibly Clutha/Catlins area; no direct source,Low,,,
Kokonga,Maniototo County,Polling: Otago Central ED (line 1193); Maniototo,High,Kokonga,Ranfurly area,
Kuri Bush,Taieri County,Polling: Chalmers ED (line 1285); Taieri area near coast,High,Kuri Bush,,
Kuriwao,Clutha County,Railway: Balclutha-Invercargill (line 2716 Kuriwao); near Clinton,High,Kuriwao,,
Kurow,Waitaki County,Polling: Waitaki ED (line 1128); Waitaki Valley,High,Kurow,,
Kyeburn,Maniototo County,Polling: Otago Central ED (line 1191); Maniototo,High,Kyeburn,Ranfurly area,
Kyeburn Diggings,Maniototo County,Polling: Otago Central ED (line 1192); Maniototo,High,Kyeburn Diggings,Ranfurly area,
Lauder,Vincent County,small_cities: Lauder → Vincent County (176); corrected from Maniototo County,High,Lauder,,
Lauder Railway Station,Maniototo County,Same locality as Lauder; Otago Central ED,High,Lauder,,
Lawrence District High School,Lawrence Borough,Polling: Otago Central ED (line 1109 Atheneum); incorporated borough,High,Lawrence,,
Leith Valley,Dunedin Borough,North Dunedin valley suburb; Dunedin Borough,High,Leith Valley,Dunedin,
Livingstone,Waitaki County,Polling: Waitaki ED (line 1130); North Otago,High,Livingstone,Oamaru area,
Lovell's Flat,Bruce County,Bruce County near Milton; well-known locality,High,Lovell's Flat,Milton area,
Lowburn,Vincent County,Near Cromwell on Clutha; Wakatipu ED (line 1310); Vincent County,Medium,Cromwell area,,
Lower Harbour,Peninsula County,"Polling: Chalmers ED (line 1273 'Lower Harbour, Port Chalmers'); Peninsula County",High,Lower Harbour,Port Chalmers area,
Luggate,Lake County,Wakatipu ED (line 1318); Lake County on Clutha,High,Luggate,,
Macandrew Road,Dunedin Borough,Large Dunedin city school; Dunedin Borough,High,Dunedin,,
McLennan,Clutha County,Near Catlins; Clutha County,Medium,Catlins area,,
Macrae's,Waihemo County,small_cities: Macrae's → Waihemo County (125); corrected from Maniototo County,High,Macrae's,,
Maerewhenua,Waitaki County,Near Duntroon/Waitaki Valley; Waitaki County,Medium,Duntroon area,,
Maheno,Waitaki County,Polling: Waitaki ED (line 1133); near Oamaru,High,Maheno,Oamaru area,
Makarora,Lake County,Wakatipu ED (line 1311); upper Clutha/Haast area,High,Makarora,,
Manuka Creek,Clutha County,Small; Catlins area; no direct source,Low,,,
Maori Hill,Dunedin Borough,Polling: Dunedin North ED (line 1226); inner suburb,High,Maori Hill,Dunedin,
Matakanui,Maniototo County,Polling: Otago Central ED (line 1163); Maniototo,High,Matakanui,,
Matau,Clutha County,Near Clutha/Bruce area; no direct source,Low,,,
Matea,Clutha County,Possibly Clutha area; no direct source,Low,,,
Maungatua,Taieri County,Polling: Otago Central ED (line 1202); Maungatua Range near Outram,Medium,Outram area,,
Merino Downs,Tuapeka County,Polling: Otago Central ED (line 1181); near Tapanui/Kelso,High,Tapanui area,,
Merton,Waikouaiti County,small_cities: Merton → Waikouaiti County (152); corrected from Waitaki County,High,Oamaru area,,
Milburn,Bruce County,Near Milton; Bruce County,High,Milburn,Milton area,
Miller's Flat,Tuapeka County,small_cities: Miller's Flat → Tuapeka County (365); corrected from Vincent County,High,Miller's Flat,Roxburgh area,
Moa Creek,Vincent County,small_cities: Moa Creek → Vincent County (189); corrected from Maniototo County,High,Moa Creek,Maniototo,
Moa Flat,Tuapeka County,small_cities: Moa Flat → Tuapeka County (160); corrected from Vincent County,High,Moa Flat,Roxburgh area,
Moeraki,Waitaki County,Coastal North Otago; Waitaki County,High,Moeraki,,
Momona,Taieri County,Polling: Chalmers ED (line 1209); Taieri Plain near Mosgiel,High,Momona,,
Moonlight,Maniototo County,Polling: Otago Central ED (line 1190); Maniototo,High,Moonlight,Maniototo,
Moray Place,Dunedin Borough,Polling: Dunedin West ED (line 1229); city school,High,Dunedin,,
Mornington,Dunedin Borough,Polling: Dunedin Central ED (line 1241); hillside suburb,High,Mornington,Dunedin,
Mosgiel District High School,Mosgiel Borough,Polling: Chalmers ED (line 1278 Coronation Hall); incorporated borough,High,Mosgiel,,
Mount Cargill,Peninsula County,Polling: Chalmers ED (line 1272); Peninsula County above harbour,High,Mount Cargill,Dunedin peninsula,
Mount Stewart,Taieri County,Near Outram; Taieri County,Medium,Outram area,,
Musselburgh,Dunedin Borough,Polling: Dunedin South ED (line 1256); coastal suburb,High,Musselburgh,Dunedin,
Naseby,Naseby Borough,Polling: Otago Central ED (line 1157 principal 'Odd Fellows' Hall Naseby'); incorporated borough,High,Naseby,Maniototo,
Nevis,Vincent County,small_cities: Nevis → Vincent County (132); corrected from Lake County,High,Nevis,,
Ngapara,Waitaki County,Polling: Waitaki ED (line 1135); North Otago,High,Ngapara,Oamaru area,
Ngapuna,Maniototo County,Polling: Otago Central ED (line 1215); Strath Taieri,High,Ngapuna,Maniototo,
Normal District High School and four model schools,Dunedin Borough,Dunedin Teachers' College; Dunedin Borough,High,Dunedin,,
North East Harbour,Peninsula County,Polling: Chalmers ED (line 1268); north-east Otago Harbour,High,North East Harbour,Dunedin peninsula,
North-east Valley,Dunedin Borough,Polling: Dunedin North ED (lines 1223-1224); inner suburb,High,North-east Valley,Dunedin,
North Taieri,Taieri County,Polling: Chalmers ED (line 1280); Taieri Plain,High,North Taieri,,
Nugget Point,Clutha County,Catlins coast; Clutha County,High,Nugget Point,,
Oamaru Middle,Oamaru Borough,coordinates_boroughs.csv; Oamaru Borough,High,Oamaru,,
Oamaru North,Oamaru Borough,coordinates_boroughs.csv; Oamaru Borough,High,Oamaru,,
Oamaru South,Oamaru Borough,coordinates_boroughs.csv; Oamaru Borough,High,Oamaru,,
Otakou,Peninsula County,Polling: Chalmers ED (line 1269); Otago Peninsula,High,Otakou,Dunedin peninsula,
Otanomomo,Bruce County,Near Milton/Stirling; Bruce County,Medium,Stirling area,,
Otekaike,Waitaki County,Polling: Waitaki ED (line 1136); Waitaki Valley,High,Otekaike,,
Otekura,Clutha County,Near Owaka/Catlins; Clutha County,Medium,Catlins area,,
Otepopo,Waitaki County,"Polling: Waitaki ED (line 1127 'Otepopo, Herbert Post-office')",High,Otepopo,Herbert area,
Otiake,Waitaki County,Waitaki Valley; Waitaki County,Medium,Duntroon area,,
Otokia,Taieri County,"Polling: Chalmers ED (line 1219 'Taieri County Hut, Otokia'); Taieri Plain",High,Otokia,,
Oturehua,Maniototo County,Polling: Otago Central ED (line 1200 Hall Oturehua); Maniototo,High,Oturehua,Maniototo,
Outram,Taieri County,Polling: Otago Central ED (line 1201 Courthouse Outram); Taieri County,High,Outram,,
Owaka,Clutha County,Catlins main town; Clutha County,High,Owaka,,
Owaka Valley,Clutha County,Near Owaka; Clutha County,High,Owaka area,,
Paerau,Maniototo County,"Polling: Otago Central ED (line 1185 'Howell's Wool-sheds, Paerau')",High,Paerau,Maniototo,
Palmerston District High School,Palmerston Borough,Polling: Chalmers ED area; incorporated borough,High,Palmerston,,
Papakaio,Waitaki County,Polling: Waitaki ED (line 1139); North Otago,High,Papakaio,Oamaru area,
Papatowai,Clutha County,Catlins coast; Clutha County,High,Papatowai,,
Patearoa,Maniototo County,Polling: Otago Central ED (line 1186 Public Hall Patearoa),High,Patearoa,Maniototo,
Pine Hill,Dunedin Borough,Near North-east Valley; Dunedin Borough,Medium,Dunedin,,
Poolburn,Vincent County,small_cities: Poolburn → Vincent County (103); corrected from Maniototo County,High,Poolburn,Maniototo,
Popotunoa,Bruce County,Near Tokoiti/Bruce County area,Medium,Milton area,,
Port Chalmers District High School,Port Chalmers Borough,Polling: Chalmers ED (line 1258 Garrison Hall principal); incorporated borough,High,Port Chalmers,,
Port Molyneux,Clutha County,Clutha River mouth; Clutha County,High,Port Molyneux,,
Portobello,Peninsula County,Polling: Chalmers ED (line 1266); Otago Peninsula,High,Portobello,Dunedin peninsula,
Pounawea,Clutha County,Catlins estuary; Clutha County,High,Pounawea,,
Pukeiwitahi,Bruce County,Near Milton area; Bruce County,Low,Milton area,,
Pukema,Maniototo County,Post offices: Hyde-Pukema listed together; near Hyde/Strath Taieri,Medium,Hyde area,,
Pukepito,Clutha County,Possibly Clutha area; no direct source,Low,,,
Puketi,Bruce County,Possibly near Milton; Bruce County,Low,,,
Pukeuri,Waitaki County,Polling: Waitaki ED (line 1138); near Oamaru,High,Pukeuri,Oamaru area,
Purakanui,Waikouaiti County,small_cities: Purakanui → Waikouaiti County (134); corrected from Peninsula County,High,Purakanui,Dunedin peninsula,
Purakauiti,Waitaki County,Near Purakaunui North Otago coast; Waitaki County,Low,,,
Purekireki,Clutha County,small_cities: Purekireki → Clutha County (104); corrected from Taieri County,High,Waihola area,,
Rae's Junction,Vincent County,Polling: Otago Central ED (line 1173); near Roxburgh,High,Rae's Junction,Roxburgh area,
Ranfurly,Maniototo County,Polling: Otago Central ED (line 1194 Hall Ranfurly); county centre (town board),High,Ranfurly,Maniototo,
Ratanui,Clutha County,Near Papatowai/Catlins; Clutha County,Medium,Catlins area,,
Ravensbourne,Peninsula County,Polling: Chalmers ED (line 1261); inner harbour suburb,High,Ravensbourne,Dunedin peninsula,
Reomoana,Clutha County,Coastal Clutha area; no direct source,Low,,,
Romahapa,Clutha County,Near Owaka; Clutha County,Medium,Owaka area,,
Roxburgh,Roxburgh Borough,Polling: Otago Central ED (line 1170 Atheneum); incorporated borough,High,Roxburgh,,
Saddle Hill,Taieri County,South of Green Island; Taieri/Dunedin boundary area,Medium,Green Island area,,
St. Bathans,Maniototo County,Polling: Otago Central ED (line 1160 Courthouse); Maniototo,High,St Bathans,Maniototo,
St. Clair,Dunedin Borough,Polling: Dunedin South ED (line 1254); coastal suburb,High,St Clair,Dunedin,
St. Leonards,Peninsula County,Polling: Chalmers ED (line 1260); near Port Chalmers,High,St Leonards,Port Chalmers area,
Sandymount,Peninsula County,Polling: Chalmers ED (line 1264); Otago Peninsula,High,Sandymount,Dunedin peninsula,
Sawyer's Bay,Waikouaiti County,small_cities: Sawyer's Bay → Waikouaiti County (536); corrected from Peninsula County,High,Sawyer's Bay,Port Chalmers area,
Seacliff,Waikouaiti County,North of Dunedin coast; Waikouaiti County,High,Seacliff,,
Southbridge,Unresolved,"AJHR 1919 lists Southbridge (grade 2, 28 pupils) under Otago ED, but no Southbridge locality exists in any Otago/Clutha reference. All sources (polling Ellesmere ED, gazetteer Canterbury, railway records) confirm Southbridge = Canterbury/Ellesmere County. Canterbury ED separately lists Southbridge DHS (grade 4B, 163 pupils) — a distinct school. Likely AJHR transcription error.",Unresolved,,,Probable AJHR source error; cannot assign county
Spottis Creek,Clutha County,Near Owaka/Catlins; Clutha County,Medium,Owaka area,,
Spylaw Valley,Clutha County,Catlins area; Clutha County,Low,,,
Stirling,Bruce County,Near Milton; Bruce County,High,Stirling,Milton area,
Stony Creek,Clutha County,Clutha area; no direct source,Low,,,
Strath Taieri,Maniototo County,Middlemarch area; upper Taieri/Maniototo County,High,Middlemarch,Maniototo,
Sutton,Taieri County,small_cities: Sutton → Taieri County (114); corrected from Maniototo County,High,Sutton,Middlemarch area,
Table Hill,Taieri County,Taieri area; no direct source,Low,,,
Tahakapa,Clutha County,Possibly Clutha/Catlins area; no direct source,Low,,,
Tahatika,Clutha County,Near Owaka/Catlins; Clutha County,Medium,Catlins area,,
Tahora,Clutha County,Near Catlins; Clutha County,Low,,,
Taieri Beach,Taieri County,Taieri coast; Taieri County,High,Taieri Beach,,
Taieri Ferry,Taieri County,Taieri River crossing; Taieri County,High,Taieri Ferry,,
Tapanui District High School,Tapanui Borough,Railway: Tapanui Branch (line 5875); incorporated borough,High,Tapanui,Tuapeka County,
Tapui,Bruce County,Near Milton; Bruce County,Medium,Milton area,,
Tarara,Clutha County,Polling: Dunedin ED (postal data Ratanui-Tarara); Catlins,Medium,Catlins area,,
Tarras,Vincent County,small_cities: Tarras → Vincent County (127); corrected from Lake County,High,Tarras,,
Taumata,Clutha County,Possibly Clutha area; no direct source,Low,,,
Tawanui,Clutha County,Near Kaitangata; Clutha County,Medium,Kaitangata area,,
Teaneraki,Waitaki County,"Polling: Waitaki ED (line 1119 'Teaneraki, Enfield Post-office')",High,Teaneraki,Enfield area,
Te Houka,Tuapeka County,Near Lawrence; Tuapeka County,Low,Lawrence area,,
Tokaraki,Waitaki County,Likely Tokarahi; Polling: Waitaki ED (line 1142 Hall Tokarahi),High,Tokarahi,Duntroon area,Probable OCR/transcription variant of Tokarahi
Tokoiti,Bruce County,Near Milton; Bruce County,High,Tokoiti,Milton area,
Tokamairiro District High School,Milton Borough,Main school of Milton; incorporated borough (Milton = Tokamairiro),High,Milton,,
Totara,Waitaki County,"Polling: Waitaki ED (line 1143 'Totara, Totaratahi Post-office')",High,Totara,,
Tuapeka Flat,Tuapeka County,Near Lawrence; Tuapeka County,High,Tuapeka Flat,,
Tuapeka Mouth,Tuapeka County,Clutha/Tuapeka River confluence; Tuapeka County,High,Tuapeka Mouth,,
Tuapeka West,Tuapeka County,Near Lawrence; Tuapeka County,High,Tuapeka West,,
Upper Junction,Clutha County,Possibly near Clutha/Owaka area; no direct source,Low,,,
Waianakarua,Waitaki County,North Otago coast; Waitaki County,High,Waianakarua,,
Waihemo,Waihemo County,Waihemo County (upper Waitaki/Maniototo border area),Medium,Waihemo,,
Waihola,Bruce County,small_cities: Waihola → Bruce County (222); corrected from Taieri County,High,Waihola,,
Waikoikoi,Clutha County,small_cities: Waikoikoi → Clutha County (220); corrected from Tuapeka County,High,Waikoikoi,Tapanui area,
Waikouaiti,Waikouaiti County,Polling: coordinates_boroughs.csv; Waikouaiti County (town board not borough),High,Waikouaiti,,
Waipahi,Clutha County,Near Clinton; Clutha County,Medium,Clinton area,,
Waipiata,Maniototo County,Polling: Otago Central ED (line 1187 Public Hall); Maniototo,High,Waipiata,Maniototo,
Waipori,Taieri County,Waipori River; Taieri County,Medium,Outram area,,
Waipori Falls,Taieri County,Waipori Gorge; Taieri County,Medium,Outram area,,
Wairuna,Clutha County,Near Clinton; Clutha County,Medium,Clinton area,,
Waitahuna,Tuapeka County,Near Lawrence; Tuapeka County,High,Waitahuna,,
Waitahuna Gully,Tuapeka County,Near Waitahuna; Tuapeka County,High,Waitahuna,,
Waitahuna West,Tuapeka County,Near Waitahuna; Tuapeka County,High,Waitahuna,,
Waitaki Bridge,Waitaki County,Waitaki River crossing; Waitaki County,Medium,Waitaki area,,
Waitapeka,Clutha County,Near Owaka/Catlins; Clutha County,Medium,Catlins area,,
Waitati,Waikouaiti County,North of Dunedin; Polling: Chalmers ED (line 1275 J. Clark's/Pigeon Flat/Waitati),High,Waitati,,
Waiwera,Clutha County,Clutha area; no direct source,Low,,,
Wakari,Dunedin Borough,Near Dunedin city; Dunedin Borough,High,Wakari,Dunedin,
Walton,Waitaki County,Near Oamaru; Waitaki County,Low,Oamaru area,,
Wanaka,Lake County,"Wakatipu ED (line 1304 'The Public School, Pembroke'); Lake County",High,Wanaka,,
Wanaka Road,Lake County,Near Wanaka; Lake County,Medium,Wanaka area,,
Wangaloa,Clutha County,Near Balclutha coast; Clutha County,Medium,Balclutha area,,
Warepa,Clutha County,Near Owaka; Clutha County,High,Owaka area,,
Waronui,Clutha County,Clutha area; no direct source,Low,,,
Wedderburn,Maniototo County,Polling: Otago Central ED (line 1158); Maniototo,High,Wedderburn,Maniototo,
Weston,Waitaki County,Polling: Waitaki ED (line 1148); near Oamaru,High,Weston,Oamaru area,
West Taieri,Taieri County,Taieri Plain; Taieri County,High,West Taieri,,
Wetherstones,Clutha County,Catlins/south Otago; Clutha County,Low,,,
Whare Flat,Taieri County,Polling: Chalmers ED (line 1283); Taieri area,High,Whare Flat,,
Wharekuri,Waihemo County,Wharekuri near Omarama/upper Waitaki; Waihemo County,Medium,Omarama area,,
Wharetoa,Clutha County,Possibly Clutha/Catlins area; no direct source,Low,,,
Windsor,Waitaki County,Polling: Waitaki ED (line 1144); North Otago,High,Windsor,,
Wylie's Crossing,Taieri County,Polling: Chalmers ED (line 1289); Taieri area,High,Wylie's Crossing,,
