school,county_borough,evidence,confidence,locality,town_district,notes
"Ardmore",Manukau County,"small_cities: Ardmore, Manukau, 199",High,Ardmore,,
"Aria",Waitomo County,"small_cities: Aria, Waitomo, 225",High,Aria,,
"Avoca",Ohinemuri County,"KG: likely near Waihi mining district; grade 2, 27 students",Low,near Waihi,,No direct source; fallback nearest borough Waihi
"Avondale (475) and side school (32)",Eden County,"small_cities: Avondale, Eden, *2670",High,Avondale,Auckland suburbs,
"Awakanae",Unresolved,"Grade 0, 6 students; very small Maori school; no source",Unresolved,,,
"Awakeri",Whakatane County,"small_cities: Awakeri, Whakatane, 105",High,Awakeri,,
"Awanga",Unresolved,"5 students, ungraded; no Auckland ED match found",Unresolved,,,
"Awaroa (10) and Matira (8)",Bay of Islands County,"KG: Awaroa locality in Northland; Matira likely same area",Low,Awaroa,Far North,No direct source
"Awitu Central",Franklin County,"Polling: Franklin ED (Awhitu Central); small_cities: Awhitu, Franklin, 153",High,Awhitu Central,Awhitu Peninsula,CSV spells as Awitu
"Awitu No. 2",Franklin County,"Same area as Awitu Central; Awhitu Peninsula Franklin County",High,Awhitu,Awhitu Peninsula,CSV spells as Awitu
"Batley",Unresolved,"Grade 1, 14 students; no gazetteer or polling match",Unresolved,,,
"Bayfield",Auckland Borough,"KG: Bayfield school in Herne Bay/Grey Lynn area; large urban school (660 avg.)",Medium,Herne Bay,,
"Belmont",Waitemata County,"KG: Belmont on North Shore near Takapuna; Waitemata County",High,Belmont,North Shore,
"Beresford Street, Auckland",Auckland Borough,"Large urban city school (587 avg.); Auckland central",High,Auckland city,Auckland Borough,
"Bickerstaffe",Otamatea County,"Polling: Kaipara ED; Post_offices: Bickerstaffe–Waipu mail service near Maungaturoto",Medium,near Maungaturoto,,Possibly Whangarei County if east of county boundary
"Birkdale",Waitemata County,"KG: Birkdale on North Shore; Waitemata County",High,Birkdale,North Shore,
"Bombay",Franklin County,"small_cities: Bombay, Franklin, 394",High,Bombay,,
"Bream Tail (5) and Waipu Cove (18)",Whangarei County,"small_cities: Waipu, Whangarei, 328; both near Waipu",High,Waipu area,,Waipu Cove is half-time
"Brighams Creek",Rodney County,"KG: Brigham's Creek near Helensville; Rodney County",Medium,near Helensville,,
"Broadwood",Hokianga County,"small_cities: Broadwood, Hokianga, 164",High,Broadwood,,
"Brookby",Manukau County,"small_cities: Clevedon, Manukau, 539 (adjacent locality)",Medium,near Clevedon,,Polling gazette lists in Franklin ED but that is electoral not county boundary
"Brynavon (12) and Whareora (11)",Whangarei County,"Polling: Marsden (Whangarei) ED lists Whareora as polling place",High,Whangarei area,,
"Brynderwyn",Otamatea County,"Polling: Kaipara ED; KG: Brynderwyn on Maungaturoto road",Medium,Brynderwyn,near Maungaturoto,On Otamatea/Whangarei county boundary
"Buckland",Franklin County,"small_cities: Buckland, Franklin, 444",High,Buckland,,
"Cabbage Bay",Coromandel County,"small_cities: Cabbage Bay, Coromandel, 160; Polling: Thames ED",High,Cabbage Bay,Coromandel Peninsula,
"Cambridge District High School Primary (310) Secondary (23)",Cambridge Borough,"coordinates_boroughs.csv: Cambridge listed as Borough",High,Cambridge,,
"Cambridge Road",Waipa County,"KG: near Cambridge; Waipa County",Medium,Cambridge area,,
"Cambridge West",Waipa County,"KG: near Cambridge; Waipa County",Medium,Cambridge area,,
"Cape Colvillw",Coromandel County,"KG: Cape Colville at northern tip of Coromandel Peninsula",High,Cape Colville,Coromandel Peninsula,Source file has typo Colvillw for Colville
"Churchill",Raglan County,"small_cities: Churchill, Raglan, 102",High,Churchill,,
"Clevedon",Manukau County,"small_cities: Clevedon, Manukau, 539",High,Clevedon,,
"Coromandel District High School Primary (148) Secondary (17)",Coromandel County,"KG: Coromandel town; Coromandel County",High,Coromandel,,
"Dacre's (19) and Tawharanui (16)",Rodney County,"KG: Dacres and Tawharanui near Matakana; Rodney County",High,near Matakana,,
"Dairy Flat (19) and Fernilea (9)",Waitemata County,"small_cities: Dairy Flat, Waitemata, 106",High,Dairy Flat,,Fernilea is half-time
"Dargaville",Dargaville Borough,"coordinates_boroughs.csv: Dargaville Borough",High,Dargaville,,Borough within Hobson County
"Devonport",Devonport Borough,"coordinates_boroughs.csv: Devonport Borough",High,Devonport,,
"Dome Valley",Rodney County,"KG: Dome Valley northeast of Helensville; Rodney County",Medium,Dome Valley,,
"Drury",Franklin County,"small_cities: Drury, Franklin, 391",High,Drury,,
"East Tamaki",Manukau County,"small_cities: East Tamaki, Manukau, 340",High,East Tamaki,,
"Edendale",Eden County,"KG: Edendale school in Auckland southern suburb (One Tree Hill/Epsom area); large school (699)",Medium,Auckland suburbs,Eden County,
"Ellerslie",Ellerslie Town District,"metropolitan_areas.csv: Ellerslie Town District (pop. 1363); Eden County",High,Ellerslie,,Town District within Eden County
"Elstow",Unresolved,"Grade 3A, 29 students; no gazetteer match",Unresolved,,,
"Epsom",Eden County,"small_cities: Epsom, Eden, 3168",High,Epsom,,
"Eureka",Waikato County,"small_cities: Eureka, Waikato, 248",High,Eureka,,
"Fariburn's Road",Mongonui County,"Polling: Bay of Islands ED lists Fairburn's; near Mangonui",Medium,Fairburn's,near Mangonui,File spells as Fariburn's
"Flat Bush",Manukau County,"KG: Flat Bush in South Auckland; Manukau County",Medium,Flat Bush,,
"Frankton",Waipa County,"small_cities: Frankton, Waipa, 172",High,Frankton Junction,near Hamilton,
"Glenbervie",Whangarei County,"KG: Glenbervie near Whangarei; Whangarei County",Medium,Glenbervie,,
"Glenbrook",Franklin County,"small_cities: Glenbrook, Franklin, 131",High,Glenbrook,,
"Glenfield",Waitemata County,"small_cities: Glenfield, Waitemata, 501",High,Glenfield,North Shore,
"Glen Massey",Raglan County,"small_cities: Glen Massey, Raglan, 346",High,Glen Massey,,
"Glen Murray (12) and Opouatia (17)",Raglan County,"small_cities: Glen Murray, Raglan, 117; Opuatia, Raglan, 110",High,Glen Murray,,Opouatia is half-time
"Goodwood",Piako County,"KG: Goodwood in Piako County area; small_cities Goodwood,Waihemo entry is Otago — different Goodwood",Low,Goodwood,Morrinsville area,No direct source for Auckland ED Goodwood
"Gordon",Piako County,"small_cities: Gordon, Piako, 108",High,Gordon,,
"Gordonton",Waikato County,"small_cities: Gordonton, Waikato, 321",High,Gordonton,,
"Grafton",Auckland Borough,"KG: Grafton central Auckland suburb; large school (606)",High,Grafton,Auckland city,
"Graham's Fern",Thames County,"KG: Graham's Fern near Thames; Thames Electoral District area",Low,Graham's Fern,Thames area,No direct source
"Great Barrier (7) and Katherine Bay (17)",Waitemata County,"KG: Great Barrier Island in Hauraki Gulf; Waitemata County",High,Great Barrier Island,,Katherine Bay is half-time
"Greenhithe (12) and Long Bay (11)",Waitemata County,"KG: Greenhithe on North Shore; Waitemata County",High,Greenhithe,North Shore,Long Bay is half-time
"Greerton",Tauranga County,"small_cities: Greerton, Tauranga, 102",High,Greerton,near Tauranga,
"Grey Lynn",Auckland Borough,"KG: Grey Lynn inner Auckland suburb; large school (669)",High,Grey Lynn,Auckland city,
"Gumtown (11) and Whenuakite (10)",Thames County,"Polling: Thames ED lists Gumtown and Whenuakite",High,Gumtown,Thames–Coromandel area,
"Hakaru (14) and Tara Road (17)",Otamatea County,"KG: Hakaru near Maungaturoto; Otamatea County",Medium,Hakaru,near Maungaturoto,
"Hamilton East",Hamilton Borough,"coordinates_boroughs.csv: Hamilton listed as Borough",High,Hamilton,,
"Hamilton West",Hamilton Borough,"coordinates_boroughs.csv: Hamilton listed as Borough",High,Hamilton,,
"Hangatiki",Waitomo County,"small_cities: Hangatiki, Waitomo, 161",High,Hangatiki,,
"Harrisville",Franklin County,"small_cities: Harrisville, Franklin, 174",High,Harrisville,,
"Hautapu",Waikato County,"small_cities: Hautapu, Waikato, 145",High,Hautapu,,
"Helena Bay",Whangarei County,"KG: Helena Bay on east coast north of Whangarei; Whangarei County",High,Helena Bay,,
"Helensville",Rodney County,"Polling: Kaipara ED (Town Board Office Helensville); Rodney County",High,Helensville,,Helensville Town Board
"Henderson",Waitemata County,"small_cities: Henderson, Waitemata, 874",High,Henderson,,
"Henderson Valley",Waitemata County,"KG: Henderson Valley near Henderson; Waitemata County",High,Henderson Valley,,
"Herekino",Hokianga County,"small_cities: Herekino, Hokianga, 283",High,Herekino,,
"Hikuai",Thames County,"small_cities: Hikuai, Thames, 107",High,Hikuai,,
"Hikurangi",Whangarei County,"Polling: Marsden (Whangarei) ED lists Hikurangi as polling place",High,Hikurangi,,
"Hikutaia",Ohinemuri County,"small_cities: Hikutaia, Ohinemuri, 374",High,Hikutaia,,
"Hinuera",Matamata County,"small_cities: Hinuera, Matamata, 206",High,Hinuera,,
"Hobsonville",Waitemata County,"small_cities: Hobsonville, Waitemata, 207",High,Hobsonville,,
"Honikiwi",Waitomo County,"small_cities: Honikiwi, Waitomo, 104",High,Honikiwi,,
"Hora Hora",Waikato County,"KG: Hora Hora (Horahora) on Waikato River; dam/power station community",Medium,Horahora,Waikato River,Near Horahora electricity dam site
"Hora Hora Rapids",Waikato County,"KG: same Horahora locality; grade 0, 8 students",Low,Horahora Rapids,Waikato River,Very small; near Hora Hora dam
"Hore Hore",Whangaroa County,"KG: Hore Hore in Far North near Whangaroa/Kaeo area",Low,Hore Hore,Whangaroa area,No direct source
"Horotiu",Waipa County,"small_cities: Horotiu, Waipa, 313",High,Horotiu,,
"Horsham Downs",Waikato County,"small_cities: Horsham Downs, Waikato, 143",High,Horsham Downs,,
"Houhora",Mongonui County,"Polling: Bay of Islands ED (Hohoura); KG: Far North",High,Houhora,,
"Houto (12) and Parakao (11)",Hobson County,"KG: Hoteo near Kaipara Harbour; Hobson County",Medium,Hoteo,near Dargaville,
"Howick",Manukau County,"small_cities: Howick, Manukau, 483",High,Howick,,
"Huarau",Hobson County,"KG: Huarau in Kaipara/Dargaville area; Hobson County",Low,Huarau,Dargaville area,No direct source
"Huia",Eden County,"KG: Huia at Manukau Harbour entrance near Titirangi; Eden County",Medium,Huia,,
"Hukatere",Otamatea County,"small_cities: Hukatere, Otamatea, 120",High,Hukatere,,
"Hukerenui South",Whangarei County,"Polling: Bay of Islands ED lists Hukerenui; Whangarei County",High,Hukerenui,,
"Huntly District High School Primary (338) secondary (14)",Waikato County,"KG: Huntly in Waikato County; not in coordinates_boroughs.csv",High,Huntly,,Town in Waikato County; not a separate Borough in 1918
"Hunua",Franklin County,"small_cities: Hunua, Franklin, 206",High,Hunua,,
"Ike Ike",Unresolved,"Grade 0, 5 students; no gazetteer match",Unresolved,,,
"Jordan (10) and Miranda (9)",Franklin County,"Polling: Franklin ED lists school near Kaiaua; Miranda on Firth of Thames coast = Franklin County",Medium,Kaiaua/Miranda,Firth of Thames,Pa is half-time under this school
"Kaeaca (14) and Rira (17)",Waitomo County,"Polling: Taumarunui ED lists Kaeaea; same district as Paemako (SC: Waitomo)",Medium,Kaeaea,,Rira is half-time; file spells Kaeaca
"Kaeo",Whangaroa County,"small_cities: Kaeo, Whangaroa, 180",High,Kaeo,,
"Kaiawa (12) and Miranda (9)",Franklin County,"Polling: Franklin ED lists school near Kaiaua (Post Town Mangatawhiri); Kaiawa = Kaiaua spelling variant",Medium,Kaiaua,Firth of Thames,Miranda is half-time under this school
"Kaihere",Waikato County,"KG: Kaihere near Ngatea/Patetonga on Hauraki Plains; Waikato County",Medium,Kaihere,,
"Kaihu",Hobson County,"small_cities: Kaihu, Hobson, 238",High,Kaihu,,
"Kaikohe",Bay of Islands County,"small_cities: Kaikohe, Bay of Islands, 356",High,Kaikohe,,
"Kaimamaku",Hobson County,"KG: Kaimamaku in northern Kaipara/Whangarei area; grade 1, 14 students",Low,Kaimamaku,Dargaville area,No direct source
"Kaimanawa",East Taupo County,"KG: Kaimanawa ranges in East Taupo County; small Maori school",Low,Kaimanawa,,No direct source
"Kaipara Flats",Rodney County,"small_cities: Kaipara Flats, Rodney, 123",High,Kaipara Flats,,
"Kaitaia",Mongonui County,"small_cities: Kaitaia, Mongonui, 519",High,Kaitaia,,
"Kaitangiweka",Unresolved,"Grade 2, 29 students; no gazetteer or polling match",Unresolved,,,
"Kaiwaka",Otamatea County,"small_cities: Kaiwaka, Otamatea, 148",High,Kaiwaka,,
"Kakapuka",Unresolved,"Grade 2, 23 students; no source",Unresolved,,,
"Kamo",Whangarei County,"Polling: Marsden (Whangarei) ED lists Kamo as polling place",High,Kamo,,
"Kara (11) and Kokupu (19)",Whangarei County,"Polling: Marsden (Whangarei) ED lists Kara as polling place",High,Kara,,Kokupu is half-time
"Karaka",Franklin County,"small_cities: Karaka, Franklin, 253",High,Karaka,,
"Karamu",Raglan County,"small_cities: Karamu, Raglan, 173",High,Karamu,,
"Karangahake",Ohinemuri County,"small_cities: Karangahake, Ohinemuri, 790",High,Karangahake,,
"Kariaotahi",Franklin County,"small_cities: Kariotahi, Franklin, 108",High,Kariaotahi,,File spells as Kariaotahi
"Katikati No.1",Tauranga County,"small_cities: Katikati, Tauranga, 261",High,Katikati,,
"Katikati No.2",Tauranga County,"small_cities: Katikati, Tauranga, 261",High,Katikati,,
"Katikati No.3",Tauranga County,"small_cities: Katikati, Tauranga, 261",High,Katikati,,
"Katui",Unresolved,"Grade 2, 24 students; no source",Unresolved,,,
"Kauaeranga Valley",Thames County,"small_cities: Kauaeranga Valley, Thames, 137",High,Kauaeranga Valley,,
"Kaukapakapa",Waitemata County,"small_cities: Kaukapakapa, Waitemata, 399",High,Kaukapakapa,,
"Kaurihohore",Whangarei County,"small_cities: Kaurihohore, Whangarei, 120",High,Kaurihohore,,
"Kauroa",Unresolved,"Grade 2, 8 students; no source",Unresolved,,,
"Kawa No.1 (13) and Kawa No.2 (20)",Waipa County,"KG: Kawa locality near Te Awamutu; Waipa County",Low,Kawa,Te Awamutu area,No direct source; grade 1
"Kawakawa",Bay of Islands County,"Polling: Bay of Islands ED lists Kawakawa (County Council Chambers); Bay of Islands County",High,Kawakawa,,Town Board
"Kawhia",Kawhia County,"coordinates_county.csv: Kawhia, Auckland; Kawhia County confirmed",High,Kawhia,,
"Kennedy Bay",Coromandel County,"Polling: Thames ED lists Kennedy's Bay as polling place",High,Kennedy Bay,Coromandel Peninsula,
"Kerepehi",Thames County,"KG: Kerepehi on Hauraki Plains; Thames County",Medium,Kerepehi,Hauraki Plains,
"Kereta (11) and Waikaway (10)",Coromandel County,"Polling: Thames ED lists Wilson's Bay Kerita; Kereta = Kerita/Coromandel coast",Medium,Kereta,Coromandel Peninsula,Waikaway is half-time
"Kerikeri",Bay of Islands County,"small_cities: Kerikeri, Bay of Islands, 102",High,Kerikeri,,
"Kerikeri Inlet",Bay of Islands County,"KG: Kerikeri Inlet adjacent to Kerikeri; same county",High,Kerikeri Inlet,,
"Kihikihi",Waipa County,"Polling: Waikato ED lists Kihikihi; near Te Awamutu = Waipa County",High,Kihikihi,near Te Awamutu,
"Kimihia",Waikato County,"small_cities: Kimihia, Waikato, 375",High,Kimihia,,
"Kinohaku No.1",Waitomo County,"Polling: Taumarunui ED lists Kinohaku; Waitomo County area",Medium,Kinohaku,,
"Kinohaku No.2",Waitomo County,"Polling: Taumarunui ED lists Kinohaku; Waitomo County area",Medium,Kinohaku,,
"Kiokio",Waitomo County,"small_cities: Kiokio, Waitomo, 199",High,Kiokio,,
"Kirikopuni",Hobson County,"small_cities: Kirikopuni, Hobson, 107",High,Kirikopuni,,
"Kiripaka",Whangarei County,"small_cities: Kiripaka, Whangarei, 207",High,Kiripaka,,
"Kiwitahi",Piako County,"small_cities: Kiwitahi, Piako, 139",High,Kiwitahi,,
"Kohanga",Unresolved,"Grade 1, 12 students; probable Northland Maori school; no direct source",Low,,,
"Kohekohe",Franklin County,"small_cities: Kohekohe, Franklin, 113",High,Kohekohe,,
"Kohukohu",Hokianga County,"Polling: Bay of Islands ED lists Kohukohu (Courthouse)",High,Kohukohu,,
"Komakorau",Waikato County,"small_cities: Komakorau, Waikato, 135",High,Komakorau,,
"Komata",Ohinemuri County,"small_cities: Komata, Ohinemuri, 158",High,Komata,,
"Komata South",Ohinemuri County,"small_cities: Komata, Ohinemuri; same area",High,Komata South,,
"Komiti",Unresolved,"Grade 2, 19 students; no source",Unresolved,,,
"Kopu",Thames County,"small_cities: Kopu, Thames, 125",High,Kopu,,
"Kopuarahi",Thames County,"Polling: Thames ED lists Kopuarahi (Grundy's Store)",Medium,Kopuarahi,,
"Korakonui",West Taupo County,"small_cities: Korakonui, West Taupo, 106",High,Korakonui,,
"Koromatua",Waipa County,"small_cities: Koromatua, Waipa, 149",High,Koromatua,,
"Koutu",Hokianga County,"small_cities: Koutu, Hokianga, 100",High,Koutu,,
"Kuaotunu",Coromandel County,"small_cities: Kuaotunu, Coromandel, 122",High,Kuaotunu,,
"Kutarere",Opotiki County,"Polling: Bay of Plenty ED lists Kutarere; south of Ohiwa Harbour = Opotiki County",Medium,Kutarere,near Ohiwa Harbour,
"Lichfield",Matamata County,"Post_offices: Putaruru-Lichfield mail service; small_cities: Putaruru, Matamata = same area",Medium,Lichfield,near Putaruru,
"Limestone Island",Whangarei County,"small_cities: Limestone Island, Whangarei, 138",High,Limestone Island,,
"Lindum Grange",Unresolved,"Grade 1, 10 students; no source",Unresolved,,,
"Lochnorrie (23) and Wainui (15)",Rodney County,"KG: Wainui near Helensville in Rodney County; Lochnorrie likely same area",Low,near Helensville,,Wainui is half-time; no direct source
"Lower Waitoa",Piako County,"small_cities: Waitoa, Piako, 454 (same district)",High,Lower Waitoa,near Waitoa,
"Mahurangi Heads West (13) and Puhuehue (9)",Rodney County,"KG: Mahurangi near Warkworth; Rodney County",Medium,Mahurangi Heads,,Puhuehue is half-time
"Maihiihi",Waitomo County,"KG: Maihiihi near Otorohanga; Waitomo County",Medium,Maihiihi,near Otorohanga,
"Mairoa (16) and Waitanguru (17)",Waitomo County,"Polling: Taumarunui ED lists Mairoa; same area as Kinohaku (Waitomo)",Medium,Mairoa,,Waitanguru is half-time
"Makarau (15) and Tahekeroa (15)",Rodney County,"KG: Makarau near Helensville; Rodney County",Medium,Makarau,,Tahekeroa is half-time
"Maketu",Tauranga County,"Polling: Bay of Plenty ED area; Maketu on Bay of Plenty coast = Tauranga County",High,Maketu,,
"Mamaku",Rotorua County,"small_cities: Mamaku, Rotorua, 486",High,Mamaku,,
"Manawahe",Rotorua County,"Polling: Bay of Plenty ED lists Manawahe near Roto-iti; Rotorua County",Medium,Manawahe,,
"Manawaru",Piako County,"small_cities: Manawaru, Piako, 363",High,Manawaru,,
"Mangaiti",Ohinemuri County,"small_cities: Mangaiti, Ohinemuri, 159",High,Mangaiti,,
"Mangaotaki",Waitomo County,"KG: Mangaotaki near Pio Pio; small_cities: Piopio, Waitomo, 311",Medium,Mangaotaki,near Pio Pio,
"Mangapai",Whangarei County,"small_cities: Mangapai, Whangarei, 248",High,Mangapai,,
"Mangapehi",Waitomo County,"small_cities: Mangapehi, Waitomo, 277",High,Mangapehi,,
"Mangapiko",Waipa County,"small_cities: Mangapiko, Waipa, 141",High,Mangapiko,,
"Mangarata (10) and Paradise (11)",Unresolved,"Grade 2, 21 students; no gazetteer match for Auckland ED Mangarata",Low,,,Paradise is half-time
"Mangataraia",Unresolved,"Grade 0, 7 students; no source",Unresolved,,,
"Mangateka",Unresolved,"Grade 1, 19 students; no source",Unresolved,,,
"Mangatete",Mongonui County,"small_cities: Mangatete, Mongonui, 113",High,Mangatete,,
"Mangatu (14) and Tuamoe (8)",Otamatea County,"Polling: Marsden (Kaipara) ED lists Tutamoe; Otamatea County",Medium,Tutamoe,near Dargaville,Tuamoe = Tutamoe spelling variant; half-time under this school
"Mangawai beach",Otamatea County,"small_cities: Mangawai, Otamatea, 109",High,Mangawhai Beach,,
"Mangawhero",Matamata County,"small_cities: Mangawhero Valley, Matamata, 101; same locality",Medium,Mangawhero,,
"Mangere",Manukau County,"small_cities: Mangere, Manukau, 673",High,Mangere,,
"Mangere Bridge",Manukau County,"small_cities: Mangere Bridge, Manukau, 285",High,Mangere Bridge,,
"Mangonui",Mongonui County,"small_cities: Mangonui, Mongonui, 230",High,Mangonui,,
"Manukau Heads",Franklin County,"Polling: Franklin ED lists Manukau Heads",Medium,Manukau Heads,,
"Manurewa",Manukau County,"KG: Manurewa in South Auckland; Manukau County",High,Manurewa,,
"Mapiu",Waitomo County,"small_cities: Mapiu, Waitomo, 171",High,Mapiu,,
"Maraetai Nos.1 (13) and 2 (8)",Franklin County,"Polling: Franklin ED lists Maraetai; Maraetai Beach area = Franklin County",Medium,Maraetai Beach,,
"Maramarua (13) and Maramarya East (10)",Franklin County,"KG: Maramarua near Maraetai/Clevedon = Franklin County",Medium,Maramarua,,
"Mareretu",Otamatea County,"small_cities: Mareretu, Otamatea, 123",High,Mareretu,,
"Marlow (7) and Ruapekapeka West (12)",Bay of Islands County,"KG: Ruapekapeka near Kawakawa; Bay of Islands County",Medium,Ruapekapeka,near Kawakawa,
"Maromaku",Bay of Islands County,"KG: Maromaku near Kawakawa; Bay of Islands County",Medium,Maromaku,,
"Marsden Point",Whangarei County,"KG: Marsden Point on Whangarei Harbour entrance; Whangarei County",High,Marsden Point,,
"Marua",Whangarei County,"small_cities: Marua, Whangarei, 170",High,Marua,,
"Mata",Whangarei County,"KG: probable Whangarei County area; grade 3A",Low,Mata,,No direct source
"Matahuru Nos 1 (16) and 2 (21)",Waikato County,"small_cities: Matahuru, Waikato, 164",High,Matahuru,,
"Mataitai",Franklin County,"Polling: Franklin ED lists Mataitai (Post Town Clevedon)",High,Mataitai,near Clevedon,
"Matakana",Rodney County,"small_cities: Matakana, Rodney, 352",High,Matakana,,
"Matakohe",Otamatea County,"small_cities: Matakohe, Otamatea, 197",High,Matakohe,,
"Matakohe No.2",Otamatea County,"same locality as Matakohe; Otamatea County",High,Matakohe,,
"Matamata District High School - Primary (186) Secondary (22)",Matamata County,"small_cities: Matamata, Matamata, 958; not in coordinates_boroughs.csv",High,Matamata,,
"Matangi",Waikato County,"small_cities: Matangi, Waikato, 199",High,Matangi,,
"Matapouri (16) and Tutukaka (17)",Whangarei County,"KG: Matapouri and Tutukaka on Whangarei east coast; Whangarei County",High,Matapouri,,Tutukaka is half-time
"Mati",Unresolved,"Grade 2, 24 students; no source",Unresolved,,,
"Mauku",Franklin County,"small_cities: Mauku, Franklin, 283",High,Mauku,,
"Maungakaramea",Whangarei County,"small_cities: Maungakaramea, Whangarei, 280",High,Maungakaramea,,
"Maungatapere",Whangarei County,"small_cities: Maungatapere, Whangarei, 215",High,Maungatapere,,
"Maungatautari",Matamata County,"small_cities: Maungatautari, Matamata, 101",High,Maungatautari,,
"Maungatautari No.2",Matamata County,"same locality as Maungatautari; Matamata County",High,Maungatautari,,
"Maungatawhiri Valley",Franklin County,"small_cities: Maungatawhiri, Franklin, 150",High,Maungatawhiri Valley,,
"Maungaturoto",Otamatea County,"small_cities: Maungaturoto, Otamatea, 194",High,Maungaturoto,,
"Maungawhau",Mount Eden Borough,"KG: Maungawhau = Maori name for Mount Eden; large school (698); Mount Eden Borough",High,Mount Eden,Auckland suburbs,
"Maunu",Whangarei County,"small_cities: Maunu, Whangarei, 392",High,Maunu,,
"Meadowbank",Eden County,"KG: Meadowbank suburb of Auckland near Remuera; Eden County",High,Meadowbank,,SC entry Meadowbank,Waitaki is a different Otago locality
"Mercer",Waikato County,"KG: Mercer on Waikato River; Waikato County",High,Mercer,,
"Mercury Bay",Coromandel County,"KG: Mercury Bay on Coromandel Peninsula; Coromandel County",High,Mercury Bay,,
"Mokai",East Taupo County,"small_cities: Mokai, East Taupo, 199",High,Mokai,,
"Mokauiti",Waitomo County,"small_cities: Mokauiti, Waitomo, 217",High,Mokauiti,,
"Monavale",Waipa County,"small_cities: Monavale, Waipa, 172",High,Monavale,,
"Morrinsville",Morrinsville Borough,"coordinates_boroughs.csv: Morrinsville listed as Borough",High,Morrinsville,,
"Motukaraka",Hokianga County,"small_cities: Motukaraka, Hokianga, 119",High,Motukaraka,,
"Motumaoho",Piako County,"small_cities: Motumaoho, Piako, 215",High,Motumaoho,,
"Motutara (11) and Muriwai (15)",Rodney County,"KG: Muriwai on west coast near Helensville = Rodney County; Motutara same area",Medium,Muriwai,,Muriwai is half-time
"Moumoukai",Franklin County,"Polling: Franklin ED lists Moumoukai",High,Moumoukai,,
"Mount Albert",Mount Albert Borough,"metropolitan_areas.csv: Mount Albert Borough (pop. 9654)",High,Mount Albert,,
"Mount Eden",Mount Eden Borough,"metropolitan_areas.csv: Mount Eden Borough (pop. 12555)",High,Mount Eden,,
"Mount Maunganui",Tauranga County,"KG: Mount Maunganui at Tauranga Harbour entrance; Tauranga County",High,Mount Maunganui,,
"Mount Roskill",Eden County,"small_cities: Mount Roskill, Eden, 136",High,Mount Roskill,,
"Mullet Point",Whangarei County,"Polling: Marsden (Whangarei) ED lists Mullet Point",Medium,Mullet Point,,
"Napier Street Auckland",Auckland Borough,"Large urban city school (608 avg.); Auckland central",High,Auckland city,,
"Naumai",Otamatea County,"small_cities: Naumai, Otamatea, 232",High,Naumai,,
"Nelson Street Auckland",Auckland Borough,"Large urban city school (446 avg.); Auckland central",High,Auckland city,,
"Netherton",Ohinemuri County,"small_cities: Netherton, Ohinemuri, 360",High,Netherton,,
"New Lynn",New Lynn Town District,"metropolitan_areas.csv: New Lynn Town District (pop. 1041); Eden County",High,New Lynn,,Town District within Eden County
"Newmarket",Newmarket Borough,"coordinates_boroughs.csv: Newmarket Borough",High,Newmarket,,
"Newstead",Waikato County,"small_cities: Newstead, Waikato, 152",High,Newstead,,
"Newton East",Auckland Borough,"Large urban city school (801 avg.); Auckland central",High,Auckland city,,
"Newton West",Auckland Borough,"Large urban city school (681 avg.); Auckland central",High,Auckland city,,
