school,county_borough,evidence,confidence,locality,town_district,notes
Hurleyville,Patea County,small_cities.csv: Hurleyville → Patea County (192),High,Hurleyville,Patea County,
Kaheke,Wanganui County,Maori name; likely on Whanganui River; Wanganui County probable,Low,Kaheke,Whanganui River,
Kai Iwi,Waitotara County,small_cities.csv: Kai Iwi → Waitotara County (258),High,Kai Iwi,Waitotara,
Kairanga,Kairanga County,small_cities.csv: Kairanga → Kairanga County (406),High,Kairanga,Kairanga,
Kaitieke,Kaitieke County,Name matches county; Kaitieke County (Auckland Province),High,Kaitieke,Kaitieke,
Kaitoke,Wanganui County,Gazetteer: Kaitoke locality (Wellington province) at -39.962 175.091; Reed: "8km from Wanganui"; Whanganui River,High,Kaitoke,Wanganui,
Kakahi,Kaitieke County,small_cities.csv: Kakahi → Kaitieke County (510),High,Kakahi,Kaitieke (Auckland Province),
Kakaramea,Patea County,small_cities.csv: Kakaramea → Patea County (262),High,Kakaramea,Patea County,
Kakariki,Rangitikei County,Gazetteer: Kakariki locality (Wellington province) at -40.124 175.450; Reed: "13km from Marton"; Rangitikei County,High,Kakariki,Rangitikei,
Kakatahi,Wanganui County,Gazetteer: Kakatahi locality (Wellington province) at -39.655 175.330; on Whanganui River north of Wanganui; Wanganui County,High,Kakatahi,Whanganui River,
Karewarewa,Unresolved,Not in polls or gazetteer; locality not identified,Unresolved,,,
Kaukatea,Unresolved,Not in polls or gazetteer; locality not identified,Unresolved,,,
Kawautahi Road,Unresolved,Road school; very small; locality not identified,Unresolved,,,
Kawhatau,Kiwitea County,small_cities.csv: Kawhatau → Kiwitea County (137),High,Kawhatau,Kiwitea,
Keith Street Infants Wanganui,Wanganui Borough,Wanganui ED — Keith Street is central Wanganui; Wanganui Borough,High,Wanganui,,
Kelvin Grove,Kairanga County,Gazetteer: Kelvin Grove (Wellington province) at -40.330 175.640; Reed: "5km from Palmerston North"; Kairanga County,High,Kelvin Grove,Palmerston North,
Kimbolton,Kiwitea County,Oroua ED (polling line 600); Kiwitea County by coordinate proximity (-40.12 175.73),Medium,Kimbolton,Kiwitea area,
Kiwitea,Kiwitea County,Name matches county; small_cities.csv: Kiwitea area confirmed,High,Kiwitea,Kiwitea,
Koeke,Rangitikei County,Gazetteer: Koeke Junction (Wellington province) at -39.697 175.593; Reed: "32km from Taihape"; Rangitikei County,High,Koeke Junction,Rangitikei,
Kohi,Patea County,small_cities.csv: Kohi → Patea County (137),High,Kohi,Patea County,
Lacy's Landing,Wanganui County,River landing on Whanganui River; Wanganui County,Low,Lacy's Landing,Whanganui River,
Linton,Kairanga County,small_cities.csv: Linton → Kairanga County (460),High,Linton,Kairanga,
Livingstone,Unresolved,Small Grade 1; no Wanganui-area Livingstone found; possibly Upper Rangitikei,Unresolved,,,
Long-acre Valley,Unresolved,Not in polls or gazetteer; locality not identified,Unresolved,,,
Longburn,Kairanga County,small_cities.csv: Longburn → Kairanga County (602),High,Longburn,Kairanga,
Lytton Street Feilding,Feilding Borough,Feilding Borough; second Feilding school,High,Feilding,,
Main South Road,Wanganui County,Road school south of Wanganui; Wanganui County probable,Low,Main South Road,Wanganui area,
Makino Road,Oroua County,small_cities.csv: Makino → Oroua County (163); Makino Road near Feilding,Medium,Makino,Oroua County,
Makohau,Unresolved,Grade 0; locality not identified,Unresolved,,,
Makohine Valley,Rangitikei County,Makohine Valley near Hunterville; Rangitikei County,Medium,Makohine Valley,Rangitikei,
Makotuku,Dannevirke County,small_cities.csv: Makotuku → Dannevirke County (230); Wellington Province; near Ormondville/Norsewood area,Medium,Makotuku,Dannevirke area,Wellington Province; included in Wanganui ED geographically
Mangamahu,Wanganui County,small_cities.csv: Mangamahu → Wanganui County (164),High,Mangamahu,Wanganui County,
Mangaonoho,Rangitikei County,small_cities.csv: Mangaonoho → Rangitikei County (153),High,Mangaonoho,Rangitikei,
Mangara,Wanganui County,Maori name; likely on Whanganui River; Wanganui County probable,Low,Mangara,Whanganui River,
Mangarimu,Rangitikei County,Gazetteer: Mangarimu locality (Wellington province) at -39.940 175.855; Reed: "early names Bull Creek and Beef Creek"; near Taihape; Rangitikei County,High,Mangarimu,Rangitikei,
Mangatiti Landing,Wanganui County,River landing on Whanganui River; Wanganui County,Low,Mangatiti Landing,Whanganui River,
Mangaweka,Rangitikei County,Rangitikei ED (polling line 612 — Town Board Office Mangaweka); Rangitikei County,High,Mangaweka,Rangitikei,
Mangawhio,Unresolved,Not in polls or gazetteer; locality not identified,Unresolved,,,
Manaoihe,Unresolved,Not in polls or gazetteer; locality not identified,Unresolved,,,
Manunui,Kaitieke County,Near Taumarunui; Kaitieke County (Auckland Province); Waimarino ED area,Medium,Manunui,Kaitieke area,
Manutahi,Patea County,small_cities.csv: Manutahi → Patea County (262),High,Manutahi,Patea County,
Marohema,Unresolved,Not in polls or gazetteer; locality not identified,Unresolved,,,
Marton District High School Primary (285) Secondary (26),Marton Borough,coordinates_boroughs.csv confirms borough; Rangitikei ED principal,High,Marton,,
Matarawa,Rangitikei County,Not in small_cities for Wanganui ED; near Rangitikei probable; note: different from Wairarapa Matarawa,Low,Matarawa,Rangitikei area,
Mataroa,Rangitikei County,small_cities.csv: Mataroa → Rangitikei County (385),High,Mataroa,Rangitikei,
Maxwell,Wanganui County,Near Wanganui city on Whanganui River; Wanganui County,Medium,Maxwell,Wanganui area,
Moawhanga,Rangitikei County,small_cities.csv: Moawhango → Rangitikei County (120); Moawhanga is spelling variant,Medium,Moawhanga,Rangitikei,
Momohaki,Unresolved,Not in polls or gazetteer; locality not identified,Unresolved,,,
Mosston,Waitotara County,small_cities.csv: Mosstown → Waitotara County (229); Mosston is spelling variant,High,Mosston,Waitotara,
Mount Richards Road,Unresolved,Road school; locality not identified,Unresolved,,,
Mount View,Unresolved,Not in polls or gazetteer; locality not identified,Unresolved,,,
Moutoa,Manawatu County,small_cities.csv: Moutoa → Manawatu County (216),High,Moutoa,Manawatu,
Newbury,Rangitikei County,Rangitikei ED (polling line 613); Rangitikei County,Medium,Newbury,Rangitikei,note: small_cities has different Newbury in Kairanga; polling evidence preferred
Ngamatea,Wanganui County,small_cities.csv: Ngamatea → Wanganui County (123),High,Ngamatea,Wanganui County,
Ngaturi,Unresolved,Not in polls or gazetteer; locality not identified,Unresolved,,,
Ngawaka,Unresolved,Not in polls or gazetteer; locality not identified,Unresolved,,,
Ngutuwera,Patea County,small_cities.csv: Ngutuwera → Patea County (111),High,Ngutuwera,Patea County,
Nukumaru,Waitotara County,Coastal Waitotara area; Waitotara County probable,Low,Nukumaru,Waitotara coast,
Ohakea,Manawatu County,small_cities.csv: Ohakea → Manawatu County (103),High,Ohakea,Manawatu,
Ohakune,Ohakune Borough,coordinates_boroughs.csv confirms borough,High,Ohakune,,
Ohingaiti,Rangitikei County,small_cities.csv: Ohingaiti → Rangitikei County (309),High,Ohingaiti,Rangitikei,
Ohutu,Unresolved,Not in polls or gazetteer; locality not identified,Unresolved,,,
Okoia,Wanganui County,small_cities.csv: Okoia → Wanganui County (273),High,Okoia,Wanganui County,
Omahine,Unresolved,Not in polls or gazetteer; locality not identified,Unresolved,,,
Opaku,Patea County,Near Patea (suburb of Patea); Patea ED (polling line 549 — Opaku Patea); Patea County,Medium,Opaku,Patea area,
Orautoha,Wanganui County,Maori name; near Whanganui River; Wanganui County probable,Low,Orautoha,Whanganui River,
Ore Ore,Unresolved,Not in polls or gazetteer; locality not identified,Unresolved,,,
Oroua Downs,Manawatu County,small_cities.csv: Oroua Downs → Manawatu County (136),High,Oroua Downs,Manawatu,
Otairi,Rangitikei County,Near Rangitikei River; Rangitikei County probable,Low,Otairi,Rangitikei area,
Owhakura,Pohangina County,Near Pohangina Valley; Pohangina County probable,Low,Owhakura,Pohangina area,
Owhango,Kaitieke County,small_cities.csv: Owhango → Kaitieke County (667),High,Owhango,Kaitieke (Auckland Province),
Pakihikura,Kiwitea County,small_cities.csv: Pakihikura → Kiwitea County (104),High,Pakihikura,Kiwitea,
Parawanui,Wanganui County,Near Wanganui area; Wanganui County probable,Low,Parawanui,Wanganui area,
Patea District High School Primary (158) Secondary (15),Patea Borough,coordinates_boroughs.csv confirms borough,High,Patea,,
Piriaka,Kaitieke County,small_cities.csv: Piriaka → Kaitieke County (270),High,Piriaka,Kaitieke (Auckland Province),
Pohangina,Pohangina County,small_cities.csv: Pohangina → Pohangina County (249),High,Pohangina,Pohangina Valley,
Pohonui,Wanganui County,Near Whanganui River; Wanganui County probable,Low,Pohonui,Whanganui River,
Pokako,Rangitikei County,Near upper Rangitikei; Rangitikei County probable,Low,Pokako,Rangitikei area,
Porewa,Rangitikei County,small_cities.csv: Porewa → Rangitikei County (140),High,Porewa,Rangitikei,
Potaka Road,Unresolved,Road school; locality not identified,Unresolved,,,
Poukiore,Wanganui County,On Whanganui River; Wanganui County probable,Low,Poukiore,Whanganui River,
Pukekaha,Kiwitea County,Near Kiwitea area; Kiwitea County probable,Low,Pukekaha,Kiwitea area,
Pukeokahu,Rangitikei County,Near upper Rangitikei (Pukeokahu is in the Rangitikei headwaters); Rangitikei County,Low,Pukeokahu,Upper Rangitikei,
Pukeroa,Unresolved,Not in polls or gazetteer; locality not identified,Unresolved,,,
Queens Park Wanganui (308) St Johns Hill (side school) (36),Wanganui Borough,Wanganui ED; Queens Park is central Wanganui Borough,High,Wanganui,,
Raetihi,Waimarino County,Waimarino ED (polling line 588 — Council Chambers Raetihi); Waimarino County,High,Raetihi,Waimarino,
Rangataua,Waimarino County,Waimarino ED (polling line 589 — Town Hall Rangataua); near Ohakune; Waimarino County,High,Rangataua,Waimarino,
Rangiotu,Manawatu County,small_cities.csv: Rangiotu → Manawatu County (313),High,Rangiotu,Manawatu,
Rangiwahia,Kiwitea County,small_cities.csv: Rangiwahia → Kiwitea County (216),High,Rangiwahia,Kiwitea,
Rapanui,Waitotara County,Near Waitotara coast; Waitotara County probable,Low,Rapanui,Waitotara coast,
Rata,Rangitikei County,small_cities.csv: Rata → Rangitikei County (100),High,Rata,Rangitikei,
Rata-iti,Rangitikei County,Near Rata; same county; Rangitikei County,Low,Rata-iti,Rangitikei,
Raukura,Oroua County,Near Oroua area; Oroua County probable,Low,Raukura,Oroua area,
Raumai,Pohangina County,small_cities.csv: Raumai → Pohangina County (315),High,Raumai,Pohangina,
Raurimu,Kaitieke County,small_cities.csv: Raurimu → Kaitieke County (631),High,Raurimu,Kaitieke (Auckland Province),
Retaruke,Kaitieke County,Near Ohura/Kaitieke area; Kaitieke County probable,Low,Retaruke,Kaitieke area,
Rewa,Wanganui County,On Whanganui River; Wanganui County probable,Low,Rewa,Whanganui River,
Riariaki,Unresolved,Grade 0; too small to locate,Unresolved,,,
Rongoiti,Unresolved,Not in polls or gazetteer; locality not identified,Unresolved,,,
Rongotea,Rangitikei County,Rangitikei ED (polling line 614 — Coronation Hall Rongotca); Rangitikei County,Medium,Rongotea,Rangitikei,
Ruahine,Rangitikei County,Near Ruahine Range/Rangitikei area; Rangitikei County probable,Low,Ruahine,Rangitikei area,
Ruatiti,Waimarino County,Waimarino ED (polling line 591); on Whanganui River; Waimarino County,High,Ruatiti,Waimarino,
St John's Hill (side school) see under Queen's Park,Wanganui Borough,Side school of Queens Park; Wanganui Borough,High,Wanganui,,See Queens Park entry
Sanson,Manawatu County,small_cities.csv: Sanson → Manawatu County (391),High,Sanson,Manawatu,
Silverhope,Unresolved,Not in polls or gazetteer; locality not identified,Unresolved,,,
South Makirikiri,Wanganui County,small_cities.csv: Makirikiri → Wanganui County (294); South Makirikiri is southern part of same area,High,South Makirikiri,Wanganui County,
Spur Road,Unresolved,Road school; locality not identified,Unresolved,,,
Stanway,Oroua County,small_cities.csv: Stanway → Oroua County (175),High,Stanway,Oroua County,
Stoney Creek,Oroua County,Near Feilding/Oroua area; Oroua County probable,Medium,Stoney Creek,Oroua area,
Table Flat,Unresolved,Not in polls or gazetteer; locality not identified,Unresolved,,,
Taihape District High School Primary (296) Secondary (18) and Winiata (side school) (17),Rangitikei County,Taihape not in borough list; Rangitikei County; Waimarino ED (polling line 574 — Taihape principal),High,Taihape,,
Taikorea,Manawatu County,small_cities.csv: Taikorea → Manawatu County (207),High,Taikorea,Manawatu,
Tanangatutu,Unresolved,Grade 0; too small to locate,Unresolved,,,
Tangiwai,Waimarino County,Near Ohakune/Waimarino on Whanganui River; Waimarino County,Medium,Tangiwai,Waimarino,
Taonui,Oroua County,small_cities.csv: Taonui → Oroua County (265),High,Taonui,Oroua County,
Taoroa,Rangitikei County,small_cities.csv: Taoroa → Rangitikei County (114),High,Taoroa,Rangitikei,
Taoroa Road,Rangitikei County,Same area as Taoroa; Rangitikei County,High,Taoroa Road,Rangitikei,
Tauakira,Unresolved,Grade 0; too small to locate,Unresolved,,,
Taumata,Unresolved,Grade 0; too small to locate,Unresolved,,,
Te Ara-Kura,Wanganui County,Near Wanganui area; Maori name on Whanganui River; Wanganui County probable,Low,Te Ara-Kura,Wanganui area,
Te Rena,Wanganui County,Near Whanganui River; Wanganui County probable,Low,Te Rena,Whanganui River,
Terrace End Palmerston North,Palmerston North Borough,Palmerston North Borough; suburban school,High,Palmerston North,,
Tiakitahuna,Kairanga County,South of Palmerston North; Kairanga County; Palmerston ED (polling line 631),Medium,Tiakitahuna,Kairanga,
Tiriraukawa,Rangitikei County,small_cities.csv: Tiriraukawa → Rangitikei County (126),High,Tiriraukawa,Rangitikei,
Tiritea,Kairanga County,Near Palmerston North (Tiritea Stream area); Kairanga County probable,Medium,Tiritea,Kairanga area,
Tokorangi,Wanganui County,On Whanganui River; Wanganui County probable,Low,Tokorangi,Whanganui River,
Torere,Wanganui County,On Whanganui River; Wanganui County probable,Low,Torere,Whanganui River,
Taupaka ,Unresolved,Grade 0; too small to locate,Unresolved,,,
Tunakotekote,Wanganui County,On Whanganui River; Wanganui County probable,Low,Tunakotekote,Whanganui River,
Turakina,Rangitikei County,small_cities.csv: Turakina → Rangitikei County (100),High,Turakina,Rangitikei,
Turangarere,Wanganui County,small_cities.csv: Turangarere → Wanganui County (168),High,Turangarere,Wanganui County,
Umumuri (81) and Herrington (side school) (14),Wanganui County,Near Wanganui on Whanganui River; Wanganui County,Medium,Umumuri,Wanganui County,
Umutoi,Pohangina County,small_cities.csv: Umutoi → Pohangina County (114),High,Umutoi,Pohangina,
Upokongaro,Wanganui County,On Whanganui River near Wanganui; Waimarino ED (polling line 593); Wanganui County,High,Upokongaro,Whanganui River,
Upper Kawhatau,Kiwitea County,Same area as Kawhatau; Kiwitea County,Medium,Upper Kawhatau,Kiwitea,
Upper Retaruke,Kaitieke County,Same area as Retaruke; Kaitieke County,Low,Upper Retaruke,Kaitieke area,
Upper Tutaenui,Rangitikei County,small_cities.csv: Tutaenui Upper → Rangitikei County (214),High,Upper Tutaenui,Rangitikei,
Utiku,Rangitikei County,small_cities.csv: Utiku → Rangitikei County (586); Rangitikei ED (polling line 617),High,Utiku,Rangitikei,
Utuwai,Pohangina County,small_cities.csv: Utuwai → Pohangina County (112),High,Utuwai,Pohangina,
Valley Road,Unresolved,Road school; locality not identified,Unresolved,,,
Victoria Avenue,Wanganui Borough,Victoria Avenue is main street of Wanganui Borough,High,Wanganui,,
Waiata,Unresolved,Not in polls or gazetteer; locality not identified,Unresolved,,,
Waikupa Road,Unresolved,Grade 0; road school; locality not identified,Unresolved,,,
Waipuru,Unresolved,Not in polls or gazetteer for Wanganui area; locality not identified,Unresolved,,,
Waitohi,Unresolved,Not in polls for Wanganui area; small_cities Waitohi is Canterbury; locality not identified,Unresolved,,,
Waitotara,Patea County,small_cities.csv: Waitotara → Patea County (281),High,Waitotara,Patea County,
Waituna West,Oroua County,Oroua ED (polling line 599 — The Hall Waituna West); Oroua County,High,Waituna West,Oroua County,
Wangehu,Rangitikei County,small_cities.csv: Wangaehu → Rangitikei County (222); Wangehu is spelling variant,High,Wangaehu,Rangitikei,
Wanganui Central Infants',Wanganui Borough,Wanganui Borough central infants school,High,Wanganui,,
Wanganui East,Wanganui Borough,Wanganui Borough — Wanganui East school (across river); Wanganui ED (polling line 563),High,Wanganui East,,
Warrengate,Kairanga County,Near Palmerston North (Kairanga direction); Kairanga County probable,Low,Warrengate,Kairanga area,
Watershed Road,Oroua County,small_cities.csv: Watershed Road → Oroua County (111),High,Watershed Road,Oroua County,
Waverley,Patea County,Patea ED (polling line 550 — Town Hall Waverley); Patea County,Medium,Waverley,Patea County,
West End Palmerston North,Palmerston North Borough,Palmerston North Borough; western school,High,Palmerston North,,
Western Rangitikei,Rangitikei County,Name contains Rangitikei; Rangitikei County,Medium,Western Rangitikei,Rangitikei,
Westmere,Waitotara County,small_cities.csv: Westmere → Waitotara County (317),High,Westmere,Waitotara,
Whaka Road,Wanganui County,Road school near Wanganui; Wanganui County probable,Low,Whaka Road,Wanganui area,
Whareroa,Unresolved,Grade 0; too small to locate,Unresolved,,,
Whenuakura,Patea County,small_cities.csv: Whenuakura → Patea County (430),High,Whenuakura,Patea County,
Winiata (side school) see under Taihape,Rangitikei County,Side school of Taihape DHS; same county,High,Winiata,Taihape area,See Taihape DHS entry
Woodlands,Wanganui County,Near Wanganui area; Wanganui County probable,Low,Woodlands,Wanganui area,
