school,county_borough,evidence,confidence,locality,town_district,notes
Little Wanganui,Buller County,Polling: Motueka ED (line 734); West Coast near Karamea,High,Little Wanganui,,
Longford,Buller County,Near Murchison; Buller County,Medium,Murchison area,,
Long Plain,Collingwood County,Possibly Aorere Valley/Golden Bay; no direct source,Low,,,
McLaren's Bay,Waimea County,Near Kaiteriteri on Tasman Bay coast; Waimea County,Medium,Kaiteriteri area,,
Mahana,Waimea County,Near Mapua; Waimea County,Medium,Mapua area,,
Mangarakau,Collingwood County,Polling: Motueka ED (line 741); near Collingwood,High,Mangarakau,Collingwood area,
Mangles Valley,Buller County,Mangles River near Murchison; Buller County,Medium,Murchison area,,
Mapua,Waimea County,Tasman Bay coast near Richmond; Waimea County,High,Mapua,Richmond area,
Marahau,Waimea County,Abel Tasman coast near Motueka; Waimea County,High,Marahau,Motueka area,
Matai Valley,Collingwood County,Matai Valley near Collingwood; Golden Bay,Medium,Collingwood area,,
Matariki,Collingwood County,Matariki Valley near Takaka; Collingwood County,Medium,Takaka area,,
Millerton,Buller County,Polling: Buller ED (line 770); Westport coalfield area,High,Millerton,Westport area,
Motueka District High School and Whakarewa (side school),Motueka Borough,Polling: Motueka ED (line 717 principal); incorporated borough 1910,High,Motueka,,
Motupiko,Waimea County,Polling: Motueka ED (line 722); Motupiko River tributary of Motueka,High,Motupiko,Motueka area,
Motupipi,Takaka County,small_cities: Motupipi → Takaka County (210); corrected from Collingwood County,High,Motupipi,Takaka area,
"Moutere, Lower",Waimea County,Polling: Motueka ED (line 726); Waimea County,High,Lower Moutere,Motueka area,
"Moutere, Upper",Waimea County,Polling: Motueka ED (line 744); Waimea County,High,Upper Moutere,Motueka area,
Murchison,Murchison County,small_cities: Murchison → Murchison County (318); corrected from Buller County,High,Murchison,,
Nelson Boys' (260) Brook Street (side school) (122) and Tasman Street (side school) (157),Nelson Borough,Polling: Nelson ED (line 689 principal courthouse); Nelson Borough,High,Nelson,,
Nelson Girls' (223) Hampden Street (side school) (175) and Haven Road (side school) (87),Nelson Borough,Polling: Nelson ED (lines 700-702 Brook St / Hampden St); Nelson Borough,High,Nelson,,
Neudorf,Waimea County,Near Hope; Waimea County,High,Hope area,Richmond area,
Ngatimoti,Waimea County,Polling: Motueka ED (line 725 'Ngatimote'); near Motueka,High,Ngatimoti,Motueka area,
Norris's Gully,Nelson County,Near Nelson city area; no direct source,Low,,,
Nuggety Creek,Inangahua County,Near Reefton goldfields; Inangahua County,Medium,Reefton area,,
Oparara Beach,Buller County,Near Karamea/Oparara River; Buller County,Medium,Karamea area,,
Orinoco,Buller County,Near Murchison; Buller County,Low,Murchison area,,
Owen Junction,Buller County,Polling: Buller ED (line 777 'Owen Junction'); near Murchison,High,Owen Junction,Murchison area,
Pakawau,Collingwood County,Near Farewell Spit base; Collingwood County,High,Pakawau,Collingwood area,
Pariwhakaho,Nelson County,Near Nelson city; Nelson County,Medium,Nelson area,,
Pigeon Valley,Waimea County,Between Nelson and Wakefield; Waimea County,Medium,Wakefield area,,
Pokororo,Waimea County,Near Motueka River; Waimea County,Medium,Motueka area,,
Progress,Buller County,Polling: Buller ED (line 772 'Progress Junction'); near Westport,High,Progress Junction,Westport area,
Punakaikai,Buller County,Punakaiki on West Coast; Buller County,High,Punakaiki,Westport area,
Puponga,Collingwood County,Polling: Motueka ED (line 740); Farewell Spit area Golden Bay,High,Puponga,Collingwood area,
Ranzau,Waimea County,Polling: Nelson ED (line 695); near Hope/Richmond,High,Ranzau,Richmond area,
Redwood's Valley,Nelson County,Near Nelson; Nelson County,Low,Nelson area,,
Reefton District High School,Inangahua County,Polling: Buller ED (lines 807-808 County Council Chambers and school); Reefton county seat,High,Reefton,,Town board not borough; Inangahua County seat
Richmond,Richmond Borough,Polling: Nelson ED (line 697); incorporated borough 1889,High,Richmond,,
Riwaka,Waimea County,Polling: Motueka ED (line 727); near Motueka,High,Riwaka,Motueka area,
Rockville (42) and Dall's Creek (side school) (11),Collingwood County,"Polling: Motueka ED (line 729 'Old School, Rockville'); Golden Bay",High,Rockville,Collingwood area,
Rocky River,Collingwood County,Aorere River tributary near Collingwood; Collingwood County,Medium,Collingwood area,,
Rotokohu,Buller County,Possibly near Murchison/Buller area; no direct source,Low,,,
Seddonville,Buller County,Polling: Motueka ED (line 739); Mokihinui River/West Coast,High,Seddonville,Westport area,
Sergeant's Hill,Inangahua County,Near Reefton; Inangahua County,Medium,Reefton area,,
Sherry River,Waimea County,Polling: Motueka ED (line 724 'Sherry Valley'); near Motupiko,High,Sherry Valley,Motueka area,
Six-mile,Buller County,Six-mile Creek area near Westport; Buller County,Medium,Westport area,,
Spring Grove,Waimea County,Polling: Nelson ED (line 692); Waimea County near Nelson,High,Spring Grove,Nelson area,
Stanley Brook,Waimea County,Polling: Motueka ED (line 723); near Motueka,High,Stanley Brook,Motueka area,
Stockton,Buller County,Near Ngakawau/Westport coalfields; Buller County,High,Stockton,Westport area,
Stoke,Waimea County,Polling: Nelson ED (line 698); suburb south of Nelson Borough; Waimea County,High,Stoke,Nelson area,Electoral district ≠ county; Stoke outside borough boundary in Waimea County
Summerlea,Inangahua County,"Polling: Motueka ED (line 746 'Summerlea, St Helens Post-office'); near Inangahua",Medium,St Helens area,Reefton area,
Tadmor,Waimea County,Polling: Motueka ED (line 736 railway station Tadmor); upper Motueka River,High,Tadmor,Motueka area,
Tahuna,Nelson County,Polling: Nelson ED (line 715 'Tahunanui'); western suburb near Nelson Borough,High,Tahunanui,Nelson area,
Takaka Central,Collingwood County,Polling: Motueka ED (line 738 courthouse Takaka); Golden Bay,High,Takaka,Golden Bay,
Takaka East,Takaka County,small_cities: Takaka East → Takaka County (130); corrected from Collingwood County,High,Takaka,Golden Bay,
Takaka Lower District High School,Collingwood County,Polling: Motueka ED (line 738); Collingwood County seat area,High,Takaka,Golden Bay,
Takaka Upper,Collingwood County,Upper Takaka Valley; Collingwood County,High,Takaka,Golden Bay,
Tapawera,Waimea County,Polling: Motueka ED (line 748); Wairoa Valley,High,Tapawera,Waimea area,
Tarakohe,Takaka County,small_cities: Terakohe → Takaka County (127); corrected from Collingwood County,High,Tarakohe,Takaka area,
Tasman,Waimea County,Polling: Motueka ED (line 751); near Mapua on Tasman Bay,High,Tasman,Motueka area,
Tauranga Bay,Buller County,Tauranga Bay near Westport on West Coast; Buller County,Medium,Westport area,,
Te Arowhenua,Nelson County,Uncertain; possibly near Nelson; no direct source,Low,,,
Tophouse,Nelson County,Near St Arnaud/Lake Rotoiti; remote upper Wairoa; Nelson County,Medium,St Arnaud area,,
Tuikea,Collingwood County,Golden Bay/Takaka area; Collingwood County,Medium,Takaka area,,
Tutaki,Buller County,Near Murchison; upper Buller area,Medium,Murchison area,,
Umere,Buller County,No direct source; possibly near Murchison,Low,,,
Uruwhenua,Collingwood County,Remote Golden Bay hinterland; Collingwood County,Low,,,
Wai-iti,Waimea County,Polling: Motueka ED (line 719); Wai-iti Valley near Wakefield,High,Wai-iti,Wakefield area,
Waimangaroa,Buller County,Polling: Buller ED (line 759); near Westport,High,Waimangaroa,Westport area,
Waimea West,Waimea County,Polling: Motueka ED (line 743); western Waimea Plains,High,Waimea West,Richmond area,
Wairangi,Nelson County,No direct source; possibly near Wairoa River,Low,,,
Waitahu,Inangahua County,"Polling: Buller ED (line 812 'Waitahu, Reefton Post-office'); near Reefton",High,Waitahu,Reefton area,
Waiuta,Inangahua County,Gold mining town near Reefton; Inangahua County,High,Waiuta,Reefton area,
Wakefield Lower,Waimea County,Polling: Motueka ED (line 718) and Nelson ED (line 691); Waimea County,High,Wakefield,,
Westport District High School,Westport Borough,Polling: Buller ED (line 753 principal); incorporated borough,High,Westport,,
Whangamoa,Nelson County,Polling: Nelson ED (line 709); north of Nelson on Whangamoa Road,High,Whangamoa,Nelson area,
Will's Road,Buller County,No direct source; possibly near Westport,Low,,,
Woodstock,Inangahua County,Possibly near Reefton area; no direct source,Low,,,
