school,county_borough,evidence,confidence,locality,town_district,notes
"Chertsey",Ashburton County,"small_cities: Chertsey, Ashburton, 365",High,Chertsey,,
"Chorlton",Malvern County,"KG: Chorlton near Darfield; Malvern County",Low,Chorlton,,No direct source
"Christchurch East (629) And South Belt (93)",Christchurch City,"KG: Christchurch City urban school",High,Christchurch,,South Belt is side school
"Christchurch East Infants",Christchurch City,"KG: Christchurch City urban school",High,Christchurch,,
"Christchurch District High School Primary (642) secondary (221)",Christchurch City,"KG: Christchurch City",High,Christchurch,,
"Clandeboye",Geraldine County,"small_cities: Clandeboye, Geraldine, 304",High,Clandeboye,,
"Claremont",Malvern County,"KG: Claremont near Malvern; Malvern County",Low,Claremont,,No direct source
"Clarkville",Eyre County,"small_cities: Clarkville, Eyre, 204",High,Clarkville,,
"Cobden",Grey County,"small_cities: Cobden, Grey, 1016",High,Cobden,near Greymouth,
"Cook's River",Westland County,"KG: Cook's River near Hokitika; Westland County",Low,Cook's River,,
"Cooper's Creek",Ashburton County,"KG: Cooper's Creek near Methven; Ashburton County",Low,Cooper's Creek,,No direct source
"Courtenay",Unresolved,"Grade 1, 10 students; no source",Unresolved,,,
"CrickleWood",Unresolved,"Grade 1, 10 students; no source",Unresolved,,,
"Culverden",Amuri County,"small_cities: Culverden, Amuri, 246",High,Culverden,,
"Cust",Rangiora County,"small_cities: Cust, Rangiora, 387",High,Cust,,
"Darfield District High School Primary (30) Secondary (14)",Malvern County,"small_cities: Darfield, Malvern, 316",High,Darfield,,
"Dobson",Grey County,"KG: Dobson near Greymouth; Grey County",High,Dobson,,
"Domett",Cheviot County,"small_cities: Domett, Cheviot, 166",High,Domett,,
"Dorie",Ashburton County,"small_cities: Dorie, Ashburton, 134",High,Dorie,,
"Douglas",Grey County,"KG: Douglas near Greymouth; Grey County",Low,Douglas,,No direct source
"Doyleston",Ellesmere County,"small_cities: Doyleston, Ellesmere, 403",High,Doyleston,,
"Dromore",Ashburton County,"KG: Dromore near Methven; Ashburton County",Medium,Dromore,,
"Dunganville (7) andd Marsden (4)",Cheviot County,"KG: Dunganville in north Canterbury; Cheviot County area",Low,Dunganville,,Marsden is half-time; file has typo andd
"Dunsandel",Ellesmere County,"small_cities: Dunsandel, Ellesmere, 443",High,Dunsandel,,
"Duvauchelle's Bay",Akaroa County,"small_cities: Duvauchelle's Bay, Akaroa, 183",High,Duvauchelle's Bay,,
"Ealing",Ashburton County,"small_cities: Ealing, Ashburton, 129",High,Ealing,,
"Eiffleton",Ashburton County,"small_cities: Eiffelton, Ashburton, 186",High,Eiffleton,,File spells Eiffleton
"Elgin",Ashburton County,"small_cities: Elgin, Ashburton, 118",High,Elgin,,
"Ellesmere",Springs County,"small_cities: Ellesmere, Springs, 179",High,Ellesmere,,
"Elmwood",Christchurch City,"KG: Elmwood is inner Christchurch suburb",High,Elmwood,,
"Esk Valley",Waimate County,"small_cities: Esk Valley, Waimate, 105",High,Esk Valley,,
"Eyreton",Eyre County,"small_cities: Eyreton, Eyre, 140",High,Eyreton,,
"Eyreton West",Eyre County,"same area as Eyreton; Eyre County",High,Eyreton West,,
"Fairlie",Mackenzie County,"small_cities: Fairlie, Mackenzie, 640",High,Fairlie,,
"Fairton",Ashburton County,"KG: Fairton near Ashburton; Ashburton County",Medium,Fairton,,
"Fairview",Levels County,"small_cities: Fairview, Levels, 151",High,Fairview,,
"Fendalton",Waimairi County,"small_cities: Fendalton, Waimairi, 1796",High,Fendalton,,
"Fernside",Rangiora County,"small_cities: Fernside, Rangiora, 315",High,Fernside,,
"Four Peaks",Geraldine County,"KG: Four Peaks near Geraldine; Geraldine County",Low,Four Peaks,,
"French Farm",Akaroa County,"KG: French Farm near Akaroa; Akaroa County",Low,French Farm,,
"Fyvie",Unresolved,"Grade 1, 7 students; no source",Unresolved,,,
"Gapes Valley",Geraldine County,"small_cities: Gapes Valley, Geraldine, 144",High,Gapes Valley,,
"Gebbie's Valley",Wairewa County,"small_cities: Gebbie's Valley, Wairewa, 122",High,Gebbie's Valley,,
"Geraldine District High School Primary (209) Secondary (24)",Geraldine Borough,"coordinates_boroughs.csv: Geraldine Borough",High,Geraldine,,
"Glen Alton",Unresolved,"Grade 0, 7 students; no source",Unresolved,,,
"Glenavy",Waimate County,"small_cities: Glenavy, Waimate, 206",High,Glenavy,,
"Glen-iti",Levels County,"small_cities: Gleniti, Levels, 361; file spells Glen-iti",High,Gleniti,,
"Glen Kowhai",Oxford County,"KG: Glen Kowhai near Oxford; Oxford County",Low,Glen Kowhai,,No direct source
"Glenroy",Selwyn County,"small_cities: Glenroy, Selwyn, 170",High,Glenroy,,
"Glentunnel",Malvern County,"small_cities: Glentunnel, Malvern, 261",High,Glentunnel,,
"Goldsborough",Westland County,"KG: Goldsborough near Hokitika; Westland County",High,Goldsborough,,
"Governor's Bay",Mt Herbert County,"KG: Governor's Bay on Banks Peninsula; Mt Herbert County",Medium,Governor's Bay,,
"Gray's Corner",Unresolved,"Grade 1, 10 students; no source",Unresolved,,,
"Greendale",Malvern County,"small_cities: Greendale, Malvern, 267",High,Greendale,,
"Greenpark",Springs County,"small_cities: Greenpark, Springs, 308",High,Greenpark,,
"Greenstreet",Ashburton County,"small_cities: Greenstreet, Ashburton, 141",High,Greenstreet,,
"Greta Valley",Cheviot County,"KG: Greta Valley in north Canterbury; Cheviot County",Medium,Greta Valley,,
"Greymouth District High School Primary (468) Secondary (52) Blaketown (side school) (88)",Greymouth Borough,"coordinates_boroughs.csv: Greymouth Borough",High,Greymouth,,Blaketown is side school within Borough
"Hakataramea",Waimate County,"small_cities: Hakataramea, Waimate, 203",High,Hakataramea,,
"Hakataramea Valley",Waimate County,"small_cities: Hakataramea Valley, Waimate, 123",High,Hakataramea Valley,,
"Halkett",Malvern County,"small_cities: Halkett, Malvern, 146",High,Halkett,,
"Halswell",Halswell County,"small_cities: Halswell, Halswell, 1096",High,Halswell,,
"Hampstead",Ashburton Borough,"KG: Hampstead is suburb of Ashburton; Ashburton Borough",High,Ashburton,,
"Hanmer Plains",Amuri County,"small_cities: Hanmer, Amuri, 167",High,Hanmer Plains,,
"Hannaton",Malvern County,"KG: Hannaton near Darfield; Malvern County",Low,Hannaton,,No direct source
"Hapuka",Kaikoura County,"small_cities: Hapuka, Kaikoura, 103",High,Hapuka,,
"Harewood",Waimairi County,"small_cities: Harewood, Waimairi, 402",High,Harewood,,
"Harihari",Westland County,"small_cities: Harihari, Westland, 103",High,Harihari,,
"Hatters",Grey County,"KG: Hatters near Greymouth; Grey County",Low,Hatters,,No direct source
"Hazelburn",Geraldine County,"KG: Hazelburn near Geraldine; Geraldine County",Medium,Hazelburn,,
"Heathcote Valley",Heathcote County,"small_cities: Heathcote Valley, Heathcote, 618",High,Heathcote Valley,,
"Highbank",Ashburton County,"small_cities: Highbank, Ashburton, 313",High,Highbank,,
"Hilton",Geraldine County,"small_cities: Hilton, Geraldine, 186",High,Hilton,,
"Hinds",Ashburton County,"small_cities: Hinds, Ashburton, 379",High,Hinds,,
"Hokitika District High School Primary (295) secondary (50)",Hokitika Borough,"coordinates_boroughs.csv: Hokitika Borough",High,Hokitika,,
"Homebush",Ashburton County,"KG: Homebush near Methven; Ashburton County",Low,Homebush,,No direct source
"Hook",Waimate County,"small_cities: Hook, Waimate, 342",High,Hook,,
"Hook Bush",Waimate County,"same area as Hook; Waimate County",Medium,Hook area,,
"Hornby",Paparua County,"small_cities: Hornby, Paparua, 568",High,Hornby,,
"Hororata",Selwyn County,"small_cities: Hororata, Selwyn, 432",High,Hororata,,
"Horsley Downs",Cheviot County,"KG: Horsley Downs in north Canterbury; Cheviot County",Medium,Horsley Downs,,
"Humphrey's",Westland County,"small_cities: Humphrey's Gully, Westland, 105",High,Humphrey's,,
"Hundalee",Cheviot County,"KG: Hundalee near Gore Bay; Cheviot County",Medium,Hundalee,,
"Hunter",Waimate County,"small_cities: Hunter, Waimate, 255",High,Hunter,,
"Huntingdon",Ashburton County,"KG: Huntingdon near Methven; Ashburton County",Medium,Huntingdon,,
"Hurunui",Amuri County,"KG: Hurunui River area; Amuri County",Low,Hurunui,,
"Ikawai",Waimate County,"Polling: Waitaki ED lists Ikawai (Post-office) — in Waimate County context",High,Ikawai,,
"Inchbonnie",Grey County,"KG: Inchbonnie near Lake Brunner; Grey County",High,Inchbonnie,,
"Irwell",Ellesmere County,"small_cities: Irwell, Ellesmere, 259",High,Irwell,,
"Jack's Mill",Grey County,"KG: Jack's Mill near Greymouth; Grey County",Medium,Jack's Mill,,
"Jackson",Westland County,"Polling: Westland ED lists Jackson's (Public School)",High,Jackson,,
"Kaiapoi District High School Primary (385) Secondary (10)",Kaiapoi Borough,"coordinates_boroughs.csv: Kaiapoi Borough",High,Kaiapoi,,
"Kaiapoi Island",Kaiapoi Borough,"KG: Kaiapoi Island adjacent to Kaiapoi Borough",Medium,Kaiapoi,,
"Kaikoura Surburban",Kaikoura County,"KG: Kaikoura Suburban outside Kaikoura Town District; Kaikoura County",High,Kaikoura,,
"Kaikoura Town District High School Primary (94) secondary (9)",Kaikoura County,"KG: Kaikoura Town District (not a Borough); Kaikoura County",High,Kaikoura,,Town District not Borough; school name confirms
"Kakahu Bush",Geraldine County,"small_cities: Kakahu, Geraldine, 156",High,Kakahu Bush,,
"Kanieri",Westland County,"small_cities: Kanieri, Westland, 219",High,Kanieri,,
"Kapua",Westland County,"KG: Kapua near Hokitika; Westland County",Low,Kapua,,No direct source
"Kiliinchy",Ellesmere County,"small_cities: Killinchy, Ellesmere, 220; file spells Kiliinchy",High,Killinchy,,
"Kimberley",Malvern County,"small_cities: Kimberley, Malvern, 143",High,Kimberley,,
"Kingsdown",Levels County,"small_cities: Kingsdown, Levels, 189",High,Kingsdown,,
"Kirikiri",Eyre County,"KG: Kirikiri near Kaiapoi; Eyre County",Medium,Kirikiri,,
"Kirwee",Malvern County,"small_cities: Kirwee, Malvern, 289",High,Kirwee,,
"Kisselton",Unresolved,"Grade 1, 12 students; no source",Unresolved,,,
"Kohika",Westland County,"KG: Kohika near Hokitika; Westland County",Low,Kohika,,No direct source
"Koiterangi",Westland County,"small_cities: Koiterangi, Westland, 175",High,Koiterangi,,
"Kokatahi Lower",Westland County,"small_cities: Kokatahi, Westland, 184",High,Kokatahi,,
"Kokatahi Upper",Westland County,"same area as Kokatahi Lower; Westland County",High,Kokatahi,,
"Kokiri",Grey County,"KG: Kokiri near Greymouth; Grey County",High,Kokiri,,
"Kowhai Bush",Malvern County,"KG: Kowhai Bush in Malvern County area",Low,Kowhai Bush,,No direct source
"Kukupa",Unresolved,"Grade 0, 11 students; no source",Unresolved,,,
"Kumara",Kumara Borough,"coordinates_boroughs.csv: Kumara Borough",High,Kumara,,
"Kumara Junction",Westland County,"KG: Kumara Junction near Kumara Borough; Westland County",High,Kumara Junction,,
"Ladbrooks",Paparua County,"small_cities: Ladbrook's, Paparua, 253",High,Ladbrooks,,
"La Fontaine",Levels County,"KG: La Fontaine near Timaru; Levels County",Low,La Fontaine,,No direct source
"Lakeside",Ellesmere County,"small_cities: Lakeside, Ellesmere, 271",High,Lakeside,,
"Lauriston",Ashburton County,"small_cities: Lauriston, Ashburton, 162",High,Lauriston,,
"Le Bon's Bay",Akaroa County,"small_cities: Le Bon's Bay, Akaroa, 140",High,Le Bon's Bay,,
"Leeston",Ellesmere County,"small_cities: Leeston, Ellesmere, 762",High,Leeston,,
"Leithfield",Kowai County,"small_cities: Leithfield, Kowai, 170",High,Leithfield,,
"Lincoln District High School Primary (81) Secondary (10)",Springs County,"small_cities: Lincoln, Springs, 520",High,Lincoln,,Not in CB as Borough
"Linwood",Christchurch City,"KG: Linwood is eastern suburb of Christchurch City",High,Linwood,,
"Lismore",Ashburton County,"small_cities: Lismore, Ashburton, 145",High,Lismore,,
"Little Akaloa",Akaroa County,"small_cities: Little Akaloa, Akaroa, 140",High,Little Akaloa,,
"Little River",Wairewa County,"small_cities: Little River, Wairewa, 161",High,Little River,,
"Loburn",Ashley County,"small_cities: Loburn, Ashley, 185",High,Loburn,,
"Loburn North",Ashley County,"same area as Loburn; Ashley County",High,Loburn North,,
"Longbeach",Ashburton County,"small_cities: Longbeach, Ashburton, 113",High,Longbeach,,
"Lowcliffe",Ashburton County,"small_cities: Lowcliffe, Ashburton, 158",High,Lowcliffe,,
"Lyalldale",Amuri County,"KG: Lyalldale in north Canterbury; Amuri County",Low,Lyalldale,,No direct source
"Lyndhurst",Ashburton County,"small_cities: Lyndhurst, Ashburton, 178",High,Lyndhurst,,
"Lyndon",Amuri County,"small_cities: Lyndon, Amuri, 173",High,Lyndon,,
"Lynnford",Unresolved,"Grade 2, 21 students; no source",Unresolved,,,
"Lynton Downs",Mackenzie County,"KG: Lynton Downs in Mackenzie County area",Low,Lynton Downs,,No direct source
"Lyttleton District High Schol Primary (404) Secondary (19)",Lyttelton Borough,"coordinates_boroughs.csv: Lyttelton Borough; file spells Lyttleton",High,Lyttelton,,
"Lyttleton Heads",Lyttelton Borough,"same area; Lyttelton Borough",High,Lyttelton Heads,,
"Lyttleton West",Lyttelton Borough,"same area; Lyttelton Borough",High,Lyttelton West,,
"Mackenzie",Cheviot County,"small_cities: Mackenzie, Cheviot, 175",High,Mackenzie,,
"Mahitahi",Westland County,"KG: Mahitahi on South Westland coast; Westland County",High,Mahitahi,,
"Makikihi",Waimate County,"small_cities: Makikihi, Waimate, 346",High,Makikihi,,
"Mananui",Westland County,"KG: Mananui near Hokitika; Westland County",Low,Mananui,,No direct source
"Marshland",Waimairi County,"small_cities: Marshland, Waimairi, 669",High,Marshland,,
"Mason's Flat",Grey County,"KG: Mason's Flat on West Coast; Grey County",Low,Mason's Flat,,No direct source
"Mayfield",Ashburton County,"small_cities: Mayfield, Ashburton, 297",High,Mayfield,,
"Mead",Ashburton County,"KG: Mead near Rakaia; Ashburton County",Low,Mead,,No direct source
"Medbury",Waipara County,"small_cities: Medbury, Waipara, 105",High,Medbury,,
"Methven",Ashburton County,"small_cities: Methven, Ashburton, 760",High,Methven,,
"Mikonui",Westland County,"KG: Mikonui near Hari Hari; Westland County",Medium,Mikonui,,
"Milford",Levels County,"KG: Milford near Temuka; Levels County",Low,Milford,,No direct source
"Moana",Grey County,"railway file: Moana on Greymouth–Otira line; Grey County",High,Moana,Lake Brunner,
"Monavale",Geraldine County,"KG: Monavale near Geraldine; distinct from SC entry Monavale,Waipa (Auckland)",Medium,Monavale,,SC Monavale entry is Auckland locality
"Moonlight",Westland County,"KG: Moonlight near old Hokitika goldfields; Westland County",Medium,Moonlight,,
"Morven",Waimate County,"small_cities: Morven, Waimate, 546",High,Morven,,
"Motukarara",Springs County,"small_cities: Motukarara, Springs, 125",High,Motukarara,,
"Mount Grey Downs",Ashley County,"KG: Mount Grey near Rangiora; Ashley County",Low,Mount Grey,,
"Mount Nessing",Unresolved,"Grade 2, 23 students; no source",Unresolved,,,
"Mount Somers",Ashburton County,"small_cities: Mount Somers, Ashburton, 277",High,Mount Somers,,
"New Brighton (452) and North New Brighton (side school) (51)",New Brighton Borough,"coordinates_boroughs.csv: New Brighton Borough",High,New Brighton,,
"Newland",Unresolved,"Grade 1, 14 students; no source",Unresolved,,,
"Ngahere",Grey County,"small_cities: Ngahere, Grey, 233",High,Ngahere,,
"Normal District High School and four model schools (at Training College) - Normal Primary (355) etc.",Christchurch City,"KG: Normal School at Christchurch Training College",High,Christchurch,,
"Ohoka",Eyre County,"small_cities: Ohoka, Eyre, 263",High,Ohoka,,
"Okain's Bay",Akaroa County,"small_cities: Okain's Bay, Akaroa, 281",High,Okain's Bay,,
"Okarito",Westland County,"Polling: Westland ED lists Okarito (Courthouse)",High,Okarito,,
"Okarito Forks",Westland County,"same area as Okarito; Westland County",High,Okarito Forks,,
"Okuku",Ashley County,"KG: Okuku near Rangiora; Ashley County",Low,Okuku,,
"Okuru",Westland County,"KG: Okuru on South Westland coast; Westland County",High,Okuru,,
"Okute Valley",Westland County,"KG: Okute near Whataroa; Westland County",Low,Okute Valley,,
"Omihi",Waipara County,"small_cities: Omihi, Waipara, 202",High,Omihi,,
"Opawa",Heathcote County,"KG: Opawa suburb south of Christchurch; Heathcote County",High,Opawa,,
"Opihi",Geraldine County,"KG: Opihi near Temuka/Geraldine; Geraldine County",Medium,Opihi,,
"Orari",Geraldine County,"small_cities: Orari, Geraldine, 256",High,Orari,,
"Orari Bridge",Geraldine County,"same area as Orari; Geraldine County",High,Orari Bridge,,
"Orari Gorge",Geraldine County,"same area as Orari; Geraldine County",High,Orari Gorge,,
"Orton",Unresolved,"Grade 1, 16 students; no source",Unresolved,,,
"Orwell Creek",Unresolved,"Grade 1, 9 students; no source",Unresolved,,,
"Otaio",Waimate County,"small_cities: Otaio, Waimate, 222",High,Otaio,,
"Otira",Westland County,"small_cities: Otira, Westland, 462",High,Otira,,
"Oruruhia",Rangiora County,"KG: Oruruhia near Rangiora; Rangiora County",Medium,Oruruhia,,
"Overdale",Ashburton County,"small_cities: Overdale, Ashburton, 124",High,Overdale,,
"Owenga",Chatham Islands,"KG: Owenga on Chatham Islands; administered under Canterbury ED",Medium,Owenga,Chatham Islands,
"Oxford East District High School - Primary (106) Secondary (13)",Oxford County,"small_cities: Oxford, Oxford, 989",High,Oxford,,
"Oxford West",Oxford County,"same area; Oxford County",High,Oxford West,,
"Papanui (262) and Bligh's Road (side school) (104)",Waimairi County,"small_cities: Papanui, Waimairi, 2844",High,Papanui,,Bligh's Road is side school
"Pareora East",Levels County,"small_cities: Pareora, Levels, 330",High,Pareora East,,
"Pareora West",Levels County,"same area; Levels County",High,Pareora West,,
"Parnassus",Cheviot County,"small_cities: Parnassus, Cheviot, 108",High,Parnassus,,
"Paroa",Grey County,"small_cities: Paroa, Grey, 116",High,Paroa,,
"Pendarves",Ashburton County,"KG: Pendarves near Methven; Ashburton County",Medium,Pendarves,,
"Phillipstown",Christchurch City,"KG: Phillipstown suburb of Christchurch City",High,Phillipstown,,
"Pigeon's Bay",Akaroa County,"KG: Pigeon Bay on Banks Peninsula; Akaroa County",Medium,Pigeon Bay,,
"Pleasant Point District High School Primary (146) Secondary (22)",Levels County,"KG: Pleasant Point in Levels County; not in CB",High,Pleasant Point,,
"Pleasant Valley",Geraldine County,"small_cities: Pleasant Valley, Geraldine, 209",High,Pleasant Valley,,
"Port Levy",Mt Herbert County,"KG: Port Levy on Banks Peninsula; Mt Herbert County",Medium,Port Levy,,
"Port Robinson",Cheviot County,"KG: Port Robinson near Cheviot; Cheviot County",Low,Port Robinson,,
"Prebbleton",Paparua County,"small_cities: Prebbleton, Paparua, 484",High,Prebbleton,,
"Puaha",Wairewa County,"small_cities: Puaha, Wairewa, 176",High,Puaha,,
"Pukekura",Unresolved,"Grade 1, 10 students; no source",Unresolved,,,
"Rakaia South",Ashburton County,"small_cities: South Rakaia, Ashburton, 162",High,Rakaia South,,
"Rangiora",Rangiora Borough,"coordinates_boroughs.csv: Rangiora Borough",High,Rangiora,,
"Rangitata Island",Geraldine County,"small_cities: Rangitata Island, Geraldine, 100",High,Rangitata Island,,
"Rangitata Station",Geraldine County,"KG: Rangitata Station near Ashburton/Geraldine boundary; Geraldine County",Low,Rangitata Station,,
"Rapaki",Lyttelton Borough,"KG: Rapaki on Lyttelton Harbour; Lyttelton Borough area",Medium,Rapaki,,
"Redcliffs",Heathcote County,"KG: Redcliffs suburb south of Christchurch; Heathcote County",High,Redcliffs,,
"Rewanui",Grey County,"small_cities: Rewanui, Grey, 152",High,Rewanui,,
"Riccarton",Riccarton Borough,"coordinates_boroughs.csv: Riccarton Borough",High,Riccarton,,
"Richmond",Christchurch City,"KG: Richmond is suburb of Christchurch City",High,Richmond,,
"Riverside",Westland County,"KG: Riverside near Hokitika; Westland County",Low,Riverside,,
"Roa",Grey County,"Polling: Grey ED lists Roa (Miners' Hall)",High,Roa,,
"Robinson's Bay",Akaroa County,"KG: Robinson's Bay on Banks Peninsula; Akaroa County",Medium,Robinson's Bay,,
"Rockwood",Unresolved,"Grade 1, 10 students; no source",Unresolved,,,
"Rokeby",Ashburton County,"KG: Rokeby near Ashburton; Ashburton County",Low,Rokeby,,No direct source
"Rolleston",Paparua County,"small_cities: Rolleston, Paparua, 206",High,Rolleston,,
"Rosewill",Levels County,"KG: Rosewill near Timaru; Levels County",Medium,Rosewill,,
"Ross",Ross Borough,"coordinates_boroughs.csv: Ross Borough",High,Ross,,
"Rotherham",Amuri County,"small_cities: Rotherham, Amuri, 248",High,Rotherham,,
"Rotomanu",Grey County,"KG: Rotomanu near Lake Brunner; Grey County",High,Rotomanu,,
"Ruapuna",Ashburton County,"small_cities: Ruapuna, Ashburton, 136",High,Ruapuna,,
"Ruatapu",Westland County,"small_cities: Ruatapu, Westland, 206",High,Ruatapu,,
"Runanga",Runanga Borough,"coordinates_boroughs.csv: Runanga Borough",High,Runanga,,
"Russell's Flat",Tawera County,"small_cities: Russell's Flat, Tawera, 108",High,Russell's Flat,,
"St. Albans",Christchurch City,"KG: St Albans suburb of Christchurch City",High,St. Albans,,
"St. Andrews",Waimate County,"small_cities: St. Andrew's, Waimate, 541",High,St. Andrews,,
"Salisbury",Waimairi County,"KG: Salisbury near Christchurch north; Waimairi County",Low,Salisbury,,No direct source
"Saltwater Creek",Westland County,"KG: Saltwater Creek near Hokitika; Westland County",Medium,Saltwater Creek,,
"Seargill",Waipara County,"small_cities: Scargill, Waipara, 163; file spells Seargill",High,Scargill,,
"Scotsburn",Unresolved,"Grade 1, 16 students; no source",Unresolved,,,
"Seadown",Levels County,"small_cities: Seadown, Levels, 334",High,Seadown,,
"Seafield",Unresolved,"Grade 1, 9 students; no source",Unresolved,,,
"Seaview",Heathcote County,"KG: Seaview near Christchurch; Heathcote County",Low,Seaview,,
"Sedgemere",Ashburton County,"KG: Sedgemere near Ashburton; Ashburton County",Low,Sedgemere,,No direct source
"Sefton",Kowai County,"small_cities: Sefton, Kowai, 253",High,Sefton,,
"Selwyn",Ellesmere County,"small_cities: Selwyn, Ellesmere, 105",High,Selwyn,,
"Sherwood Downs",Mackenzie County,"small_cities: Sherwood Downs, Mackenzie, 163",High,Sherwood Downs,,
"Shirley Road",Waimairi County,"small_cities: Shirley, Waimairi, 338",High,Shirley,,
"Silverstream",Ashley County,"KG: Silverstream near Oxford/Rangiora; Ashley County",Low,Silverstream,,No direct source
"Somerfield",Christchurch City,"KG: Somerfield is suburb of Christchurch City",High,Somerfield,,
"Southbridge District High School Primary (140) Secondary (23)",Ellesmere County,"KG: Southbridge in Ellesmere County",High,Southbridge,,
"Southbrook",Rangiora County,"small_cities: Southbrook, Rangiora, 346",High,Southbrook,,
